1101 Eucaliptos Norte - SoilR40 A 10 cm #1101[%],,1101 Eucaliptos Norte - SoilR40 A 20 cm #1101[%],,1101 Eucaliptos Norte - SoilR40 A 30 cm #1101[%],,1101 Eucaliptos Norte - SoilR40 A 40 cm #1101[%],,1101 Eucaliptos Norte - SoilR40 A 50 cm #1101[%],,1101 Eucaliptos Norte - SoilR40 A 60 cm #1101[%],
2020-06-15 00:05:34.0,15.09,2020-06-15 00:05:34.0,10.22,2020-06-15 00:05:34.0,11.65,2020-06-15 00:05:34.0,12.42,2020-06-15 00:05:34.0,14.36,2020-06-15 00:05:34.0,12.16
2020-06-15 00:35:34.0,15.6,2020-06-15 00:35:34.0,10.19,2020-06-15 00:35:34.0,11.64,2020-06-15 00:35:34.0,12.42,2020-06-15 00:35:34.0,14.38,2020-06-15 00:35:34.0,12.06
2020-06-15 01:05:34.0,16.47,2020-06-15 01:05:34.0,10.25,2020-06-15 01:05:34.0,11.64,2020-06-15 01:05:34.0,12.41,2020-06-15 01:05:34.0,14.38,2020-06-15 01:05:34.0,12.05
2020-06-15 01:35:34.0,17.23,2020-06-15 01:35:34.0,10.33,2020-06-15 01:35:34.0,11.64,2020-06-15 01:35:34.0,12.41,2020-06-15 01:35:34.0,14.38,2020-06-15 01:35:34.0,12.05
2020-06-15 02:05:54.0,17.83,2020-06-15 02:05:54.0,10.41,2020-06-15 02:05:54.0,11.66,2020-06-15 02:05:54.0,12.41,2020-06-15 02:05:54.0,14.37,2020-06-15 02:05:54.0,12.02
2020-06-15 02:35:54.0,18.37,2020-06-15 02:35:54.0,10.5,2020-06-15 02:35:54.0,11.67,2020-06-15 02:35:54.0,12.41,2020-06-15 02:35:54.0,14.36,2020-06-15 02:35:54.0,12
2020-06-15 03:05:54.0,18.85,2020-06-15 03:05:54.0,10.61,2020-06-15 03:05:54.0,11.7,2020-06-15 03:05:54.0,12.4,2020-06-15 03:05:54.0,14.35,2020-06-15 03:05:54.0,11.98
2020-06-15 03:35:54.0,19.14,2020-06-15 03:35:54.0,10.73,2020-06-15 03:35:54.0,11.77,2020-06-15 03:35:54.0,12.4,2020-06-15 03:35:54.0,14.35,2020-06-15 03:35:54.0,11.98
2020-06-15 04:05:54.0,19.23,2020-06-15 04:05:54.0,10.88,2020-06-15 04:05:54.0,11.8,2020-06-15 04:05:54.0,12.4,2020-06-15 04:05:54.0,14.34,2020-06-15 04:05:54.0,11.97
2020-06-15 04:35:54.0,19.64,2020-06-15 04:35:54.0,11.02,2020-06-15 04:35:54.0,11.85,2020-06-15 04:35:54.0,12.41,2020-06-15 04:35:54.0,14.33,2020-06-15 04:35:54.0,11.97
2020-06-15 05:06:14.0,19.85,2020-06-15 05:06:14.0,11.18,2020-06-15 05:06:14.0,11.88,2020-06-15 05:06:14.0,12.41,2020-06-15 05:06:14.0,14.33,2020-06-15 05:06:14.0,11.96
2020-06-15 05:36:14.0,20.02,2020-06-15 05:36:14.0,11.32,2020-06-15 05:36:14.0,11.93,2020-06-15 05:36:14.0,12.4,2020-06-15 05:36:14.0,14.32,2020-06-15 05:36:14.0,11.95
2020-06-15 06:06:14.0,20.08,2020-06-15 06:06:14.0,11.45,2020-06-15 06:06:14.0,11.97,2020-06-15 06:06:14.0,12.41,2020-06-15 06:06:14.0,14.32,2020-06-15 06:06:14.0,11.94
2020-06-15 06:36:14.0,20.28,2020-06-15 06:36:14.0,11.57,2020-06-15 06:36:14.0,12.01,2020-06-15 06:36:14.0,12.41,2020-06-15 06:36:14.0,14.25,2020-06-15 06:36:14.0,11.94
2020-06-15 07:06:14.0,20.35,2020-06-15 07:06:14.0,11.69,2020-06-15 07:06:14.0,12.07,2020-06-15 07:06:14.0,12.41,2020-06-15 07:06:14.0,14.07,2020-06-15 07:06:14.0,11.95
2020-06-15 07:36:14.0,20.39,2020-06-15 07:36:14.0,11.82,2020-06-15 07:36:14.0,12.12,2020-06-15 07:36:14.0,12.41,2020-06-15 07:36:14.0,14.01,2020-06-15 07:36:14.0,11.96
2020-06-15 08:06:30.0,20.37,2020-06-15 08:06:30.0,11.93,2020-06-15 08:06:30.0,12.17,2020-06-15 08:06:30.0,12.42,2020-06-15 08:06:30.0,14,2020-06-15 08:06:30.0,11.98
2020-06-15 08:36:30.0,20.28,2020-06-15 08:36:30.0,12.02,2020-06-15 08:36:30.0,12.18,2020-06-15 08:36:30.0,12.42,2020-06-15 08:36:30.0,13.97,2020-06-15 08:36:30.0,11.99
2020-06-15 09:06:30.0,20.21,2020-06-15 09:06:30.0,12.09,2020-06-15 09:06:30.0,12.19,2020-06-15 09:06:30.0,12.42,2020-06-15 09:06:30.0,14.07,2020-06-15 09:06:30.0,11.99
2020-06-15 09:36:30.0,20.02,2020-06-15 09:36:30.0,12.12,2020-06-15 09:36:30.0,12.23,2020-06-15 09:36:30.0,12.43,2020-06-15 09:36:30.0,14.06,2020-06-15 09:36:30.0,12
2020-06-15 10:06:30.0,19.76,2020-06-15 10:06:30.0,12.13,2020-06-15 10:06:30.0,12.28,2020-06-15 10:06:30.0,12.44,2020-06-15 10:06:30.0,14.06,2020-06-15 10:06:30.0,12
2020-06-15 10:36:30.0,19.76,2020-06-15 10:36:30.0,12.13,2020-06-15 10:36:30.0,12.31,2020-06-15 10:36:30.0,12.44,2020-06-15 10:36:30.0,14.02,2020-06-15 10:36:30.0,12.01
2020-06-15 11:06:46.0,19.55,2020-06-15 11:06:46.0,12.11,2020-06-15 11:06:46.0,12.33,2020-06-15 11:06:46.0,12.44,2020-06-15 11:06:46.0,13.98,2020-06-15 11:06:46.0,12.01
2020-06-15 11:36:46.0,19.31,2020-06-15 11:36:46.0,12.06,2020-06-15 11:36:46.0,12.35,2020-06-15 11:36:46.0,12.45,2020-06-15 11:36:46.0,14.05,2020-06-15 11:36:46.0,12.01
2020-06-15 12:06:46.0,19.06,2020-06-15 12:06:46.0,12,2020-06-15 12:06:46.0,12.35,2020-06-15 12:06:46.0,12.44,2020-06-15 12:06:46.0,13.76,2020-06-15 12:06:46.0,12.02
2020-06-15 12:36:46.0,18.86,2020-06-15 12:36:46.0,11.94,2020-06-15 12:36:46.0,12.35,2020-06-15 12:36:46.0,12.45,2020-06-15 12:36:46.0,13.89,2020-06-15 12:36:46.0,12.01
2020-06-15 13:06:46.0,18.67,2020-06-15 13:06:46.0,11.89,2020-06-15 13:06:46.0,12.34,2020-06-15 13:06:46.0,12.44,2020-06-15 13:06:46.0,13.98,2020-06-15 13:06:46.0,12.02
2020-06-15 13:36:46.0,18.5,2020-06-15 13:36:46.0,11.82,2020-06-15 13:36:46.0,12.35,2020-06-15 13:36:46.0,12.44,2020-06-15 13:36:46.0,14.02,2020-06-15 13:36:46.0,12.02
2020-06-15 14:07:06.0,18.39,2020-06-15 14:07:06.0,11.71,2020-06-15 14:07:06.0,12.39,2020-06-15 14:07:06.0,12.44,2020-06-15 14:07:06.0,14.01,2020-06-15 14:07:06.0,12.02
2020-06-15 14:37:06.0,18.26,2020-06-15 14:37:06.0,11.65,2020-06-15 14:37:06.0,12.36,2020-06-15 14:37:06.0,12.43,2020-06-15 14:37:06.0,13.92,2020-06-15 14:37:06.0,12.02
2020-06-15 15:07:06.0,18.08,2020-06-15 15:07:06.0,11.57,2020-06-15 15:07:06.0,12.34,2020-06-15 15:07:06.0,12.42,2020-06-15 15:07:06.0,13.96,2020-06-15 15:07:06.0,12
2020-06-15 15:37:06.0,17.93,2020-06-15 15:37:06.0,11.5,2020-06-15 15:37:06.0,12.32,2020-06-15 15:37:06.0,12.42,2020-06-15 15:37:06.0,13.94,2020-06-15 15:37:06.0,12
2020-06-15 16:07:06.0,17.81,2020-06-15 16:07:06.0,11.43,2020-06-15 16:07:06.0,12.29,2020-06-15 16:07:06.0,12.42,2020-06-15 16:07:06.0,14,2020-06-15 16:07:06.0,12
2020-06-15 16:37:06.0,17.69,2020-06-15 16:37:06.0,11.35,2020-06-15 16:37:06.0,12.27,2020-06-15 16:37:06.0,12.41,2020-06-15 16:37:06.0,14.01,2020-06-15 16:37:06.0,12
2020-06-15 17:07:24.0,17.58,2020-06-15 17:07:24.0,11.3,2020-06-15 17:07:24.0,12.23,2020-06-15 17:07:24.0,12.4,2020-06-15 17:07:24.0,13.93,2020-06-15 17:07:24.0,11.99
2020-06-15 17:37:24.0,17.47,2020-06-15 17:37:24.0,11.24,2020-06-15 17:37:24.0,12.21,2020-06-15 17:37:24.0,12.4,2020-06-15 17:37:24.0,13.75,2020-06-15 17:37:24.0,11.99
2020-06-15 18:07:24.0,17.41,2020-06-15 18:07:24.0,11.19,2020-06-15 18:07:24.0,12.18,2020-06-15 18:07:24.0,12.39,2020-06-15 18:07:24.0,13.99,2020-06-15 18:07:24.0,11.98
2020-06-15 18:37:24.0,17.3,2020-06-15 18:37:24.0,11.14,2020-06-15 18:37:24.0,12.15,2020-06-15 18:37:24.0,12.38,2020-06-15 18:37:24.0,13.99,2020-06-15 18:37:24.0,11.97
2020-06-15 19:07:24.0,17.22,2020-06-15 19:07:24.0,11.1,2020-06-15 19:07:24.0,12.13,2020-06-15 19:07:24.0,12.38,2020-06-15 19:07:24.0,13.99,2020-06-15 19:07:24.0,11.97
2020-06-15 19:37:24.0,17.16,2020-06-15 19:37:24.0,11.07,2020-06-15 19:37:24.0,12.11,2020-06-15 19:37:24.0,12.37,2020-06-15 19:37:24.0,14,2020-06-15 19:37:24.0,11.96
2020-06-15 20:07:42.0,17.13,2020-06-15 20:07:42.0,11.04,2020-06-15 20:07:42.0,12.09,2020-06-15 20:07:42.0,12.37,2020-06-15 20:07:42.0,13.98,2020-06-15 20:07:42.0,11.96
2020-06-15 20:37:42.0,17.11,2020-06-15 20:37:42.0,11.03,2020-06-15 20:37:42.0,12.07,2020-06-15 20:37:42.0,12.36,2020-06-15 20:37:42.0,14.04,2020-06-15 20:37:42.0,11.95
2020-06-15 21:07:42.0,17.09,2020-06-15 21:07:42.0,11.02,2020-06-15 21:07:42.0,12.05,2020-06-15 21:07:42.0,12.36,2020-06-15 21:07:42.0,14.07,2020-06-15 21:07:42.0,11.95
2020-06-15 21:37:42.0,17.07,2020-06-15 21:37:42.0,11.01,2020-06-15 21:37:42.0,12.04,2020-06-15 21:37:42.0,12.34,2020-06-15 21:37:42.0,14.08,2020-06-15 21:37:42.0,11.94
2020-06-15 22:07:42.0,17.05,2020-06-15 22:07:42.0,11.01,2020-06-15 22:07:42.0,12.03,2020-06-15 22:07:42.0,12.34,2020-06-15 22:07:42.0,14.09,2020-06-15 22:07:42.0,11.92
2020-06-15 22:37:42.0,17.03,2020-06-15 22:37:42.0,11.02,2020-06-15 22:37:42.0,12.03,2020-06-15 22:37:42.0,12.34,2020-06-15 22:37:42.0,14.08,2020-06-15 22:37:42.0,11.92
2020-06-15 23:08:00.0,17.02,2020-06-15 23:08:00.0,11.03,2020-06-15 23:08:00.0,12.03,2020-06-15 23:08:00.0,12.34,2020-06-15 23:08:00.0,14.1,2020-06-15 23:08:00.0,11.92
2020-06-15 23:38:00.0,17.02,2020-06-15 23:38:00.0,11.05,2020-06-15 23:38:00.0,12.03,2020-06-15 23:38:00.0,12.34,2020-06-15 23:38:00.0,14.1,2020-06-15 23:38:00.0,11.9
2020-06-16 00:08:00.0,17.02,2020-06-16 00:08:00.0,11.07,2020-06-16 00:08:00.0,12.03,2020-06-16 00:08:00.0,12.33,2020-06-16 00:08:00.0,14.1,2020-06-16 00:08:00.0,11.9
2020-06-16 00:38:00.0,17.04,2020-06-16 00:38:00.0,11.08,2020-06-16 00:38:00.0,12.04,2020-06-16 00:38:00.0,12.33,2020-06-16 00:38:00.0,14.11,2020-06-16 00:38:00.0,11.89
2020-06-16 01:08:00.0,17.06,2020-06-16 01:08:00.0,11.1,2020-06-16 01:08:00.0,12.05,2020-06-16 01:08:00.0,12.33,2020-06-16 01:08:00.0,14.11,2020-06-16 01:08:00.0,11.88
2020-06-16 01:38:00.0,17.12,2020-06-16 01:38:00.0,11.13,2020-06-16 01:38:00.0,12.06,2020-06-16 01:38:00.0,12.33,2020-06-16 01:38:00.0,14.11,2020-06-16 01:38:00.0,11.88
2020-06-16 02:08:18.0,17.17,2020-06-16 02:08:18.0,11.15,2020-06-16 02:08:18.0,12.07,2020-06-16 02:08:18.0,12.32,2020-06-16 02:08:18.0,14.12,2020-06-16 02:08:18.0,11.87
2020-06-16 02:38:18.0,17.23,2020-06-16 02:38:18.0,11.18,2020-06-16 02:38:18.0,12.08,2020-06-16 02:38:18.0,12.32,2020-06-16 02:38:18.0,14.11,2020-06-16 02:38:18.0,11.86
2020-06-16 03:08:18.0,17.29,2020-06-16 03:08:18.0,11.24,2020-06-16 03:08:18.0,12.09,2020-06-16 03:08:18.0,12.32,2020-06-16 03:08:18.0,14.11,2020-06-16 03:08:18.0,11.86
2020-06-16 03:38:18.0,17.33,2020-06-16 03:38:18.0,11.27,2020-06-16 03:38:18.0,12.11,2020-06-16 03:38:18.0,12.33,2020-06-16 03:38:18.0,14.11,2020-06-16 03:38:18.0,11.86
2020-06-16 04:08:18.0,17.34,2020-06-16 04:08:18.0,11.28,2020-06-16 04:08:18.0,12.12,2020-06-16 04:08:18.0,12.33,2020-06-16 04:08:18.0,14.1,2020-06-16 04:08:18.0,11.85
2020-06-16 04:38:18.0,17.34,2020-06-16 04:38:18.0,11.29,2020-06-16 04:38:18.0,12.13,2020-06-16 04:38:18.0,12.33,2020-06-16 04:38:18.0,14.09,2020-06-16 04:38:18.0,11.85
2020-06-16 05:08:36.0,17.32,2020-06-16 05:08:36.0,11.31,2020-06-16 05:08:36.0,12.15,2020-06-16 05:08:36.0,12.33,2020-06-16 05:08:36.0,14.1,2020-06-16 05:08:36.0,11.84
2020-06-16 05:38:36.0,17.31,2020-06-16 05:38:36.0,11.32,2020-06-16 05:38:36.0,12.17,2020-06-16 05:38:36.0,12.33,2020-06-16 05:38:36.0,14.07,2020-06-16 05:38:36.0,11.84
2020-06-16 06:08:36.0,17.25,2020-06-16 06:08:36.0,11.31,2020-06-16 06:08:36.0,12.17,2020-06-16 06:08:36.0,12.33,2020-06-16 06:08:36.0,14.08,2020-06-16 06:08:36.0,11.79
2020-06-16 06:38:36.0,17.31,2020-06-16 06:38:36.0,11.29,2020-06-16 06:38:36.0,12.17,2020-06-16 06:38:36.0,12.33,2020-06-16 06:38:36.0,14.06,2020-06-16 06:38:36.0,11.76
2020-06-16 07:08:36.0,17.45,2020-06-16 07:08:36.0,11.3,2020-06-16 07:08:36.0,12.14,2020-06-16 07:08:36.0,12.33,2020-06-16 07:08:36.0,14.06,2020-06-16 07:08:36.0,11.75
2020-06-16 07:38:36.0,17.59,2020-06-16 07:38:36.0,11.32,2020-06-16 07:38:36.0,12.14,2020-06-16 07:38:36.0,12.33,2020-06-16 07:38:36.0,13.77,2020-06-16 07:38:36.0,11.76
2020-06-16 08:08:54.0,17.66,2020-06-16 08:08:54.0,11.33,2020-06-16 08:08:54.0,12.15,2020-06-16 08:08:54.0,12.34,2020-06-16 08:08:54.0,13.86,2020-06-16 08:08:54.0,11.76
2020-06-16 08:38:54.0,17.69,2020-06-16 08:38:54.0,11.35,2020-06-16 08:38:54.0,12.17,2020-06-16 08:38:54.0,12.34,2020-06-16 08:38:54.0,13.8,2020-06-16 08:38:54.0,11.76
2020-06-16 09:08:54.0,17.64,2020-06-16 09:08:54.0,11.36,2020-06-16 09:08:54.0,12.17,2020-06-16 09:08:54.0,12.34,2020-06-16 09:08:54.0,13.73,2020-06-16 09:08:54.0,11.76
2020-06-16 09:38:54.0,17.6,2020-06-16 09:38:54.0,11.38,2020-06-16 09:38:54.0,12.19,2020-06-16 09:38:54.0,12.34,2020-06-16 09:38:54.0,13.57,2020-06-16 09:38:54.0,11.79
2020-06-16 10:08:54.0,17.49,2020-06-16 10:08:54.0,11.38,2020-06-16 10:08:54.0,12.2,2020-06-16 10:08:54.0,12.34,2020-06-16 10:08:54.0,13.79,2020-06-16 10:08:54.0,11.81
2020-06-16 10:38:54.0,17.42,2020-06-16 10:38:54.0,11.36,2020-06-16 10:38:54.0,12.2,2020-06-16 10:38:54.0,12.34,2020-06-16 10:38:54.0,13.84,2020-06-16 10:38:54.0,11.81
2020-06-16 11:09:08.0,17.38,2020-06-16 11:09:08.0,11.33,2020-06-16 11:09:08.0,12.19,2020-06-16 11:09:08.0,12.34,2020-06-16 11:09:08.0,13.8,2020-06-16 11:09:08.0,11.81
2020-06-16 11:39:08.0,17.26,2020-06-16 11:39:08.0,11.31,2020-06-16 11:39:08.0,12.2,2020-06-16 11:39:08.0,12.34,2020-06-16 11:39:08.0,13.5,2020-06-16 11:39:08.0,11.82
2020-06-16 12:09:08.0,17.19,2020-06-16 12:09:08.0,11.27,2020-06-16 12:09:08.0,12.18,2020-06-16 12:09:08.0,12.34,2020-06-16 12:09:08.0,13.75,2020-06-16 12:09:08.0,11.83
2020-06-16 12:39:08.0,17.07,2020-06-16 12:39:08.0,11.24,2020-06-16 12:39:08.0,12.17,2020-06-16 12:39:08.0,12.34,2020-06-16 12:39:08.0,13.79,2020-06-16 12:39:08.0,11.83
2020-06-16 13:09:08.0,16.93,2020-06-16 13:09:08.0,11.19,2020-06-16 13:09:08.0,12.15,2020-06-16 13:09:08.0,12.34,2020-06-16 13:09:08.0,13.52,2020-06-16 13:09:08.0,11.83
2020-06-16 13:39:08.0,16.82,2020-06-16 13:39:08.0,11.08,2020-06-16 13:39:08.0,12.12,2020-06-16 13:39:08.0,12.33,2020-06-16 13:39:08.0,13.68,2020-06-16 13:39:08.0,11.83
2020-06-16 14:09:26.0,16.8,2020-06-16 14:09:26.0,10.99,2020-06-16 14:09:26.0,12.1,2020-06-16 14:09:26.0,12.33,2020-06-16 14:09:26.0,13.57,2020-06-16 14:09:26.0,11.83
2020-06-16 14:39:26.0,16.64,2020-06-16 14:39:26.0,10.91,2020-06-16 14:39:26.0,12.12,2020-06-16 14:39:26.0,12.32,2020-06-16 14:39:26.0,13.7,2020-06-16 14:39:26.0,11.82
2020-06-16 15:09:26.0,16.55,2020-06-16 15:09:26.0,10.84,2020-06-16 15:09:26.0,12.09,2020-06-16 15:09:26.0,12.32,2020-06-16 15:09:26.0,13.76,2020-06-16 15:09:26.0,11.82
2020-06-16 15:39:26.0,16.46,2020-06-16 15:39:26.0,10.77,2020-06-16 15:39:26.0,12.05,2020-06-16 15:39:26.0,12.31,2020-06-16 15:39:26.0,13.78,2020-06-16 15:39:26.0,11.82
2020-06-16 16:09:26.0,16.49,2020-06-16 16:09:26.0,10.7,2020-06-16 16:09:26.0,12.01,2020-06-16 16:09:26.0,12.3,2020-06-16 16:09:26.0,13.71,2020-06-16 16:09:26.0,11.82
2020-06-16 16:39:26.0,16.41,2020-06-16 16:39:26.0,10.63,2020-06-16 16:39:26.0,11.98,2020-06-16 16:39:26.0,12.29,2020-06-16 16:39:26.0,13.71,2020-06-16 16:39:26.0,11.82
2020-06-16 17:09:26.0,16.34,2020-06-16 17:09:26.0,10.57,2020-06-16 17:09:26.0,11.94,2020-06-16 17:09:26.0,12.28,2020-06-16 17:09:26.0,13.77,2020-06-16 17:09:26.0,11.8
2020-06-16 17:40:06.0,16.27,2020-06-16 17:40:06.0,10.51,2020-06-16 17:40:06.0,11.91,2020-06-16 17:40:06.0,12.27,2020-06-16 17:40:06.0,13.79,2020-06-16 17:40:06.0,11.8
2020-06-16 18:10:06.0,16.21,2020-06-16 18:10:06.0,10.48,2020-06-16 18:10:06.0,11.88,2020-06-16 18:10:06.0,12.26,2020-06-16 18:10:06.0,13.78,2020-06-16 18:10:06.0,11.79
2020-06-16 18:40:06.0,16.15,2020-06-16 18:40:06.0,10.44,2020-06-16 18:40:06.0,11.84,2020-06-16 18:40:06.0,12.25,2020-06-16 18:40:06.0,13.79,2020-06-16 18:40:06.0,11.79
2020-06-16 19:10:06.0,16.09,2020-06-16 19:10:06.0,10.41,2020-06-16 19:10:06.0,11.76,2020-06-16 19:10:06.0,12.24,2020-06-16 19:10:06.0,13.75,2020-06-16 19:10:06.0,11.78
2020-06-16 19:40:06.0,16.05,2020-06-16 19:40:06.0,10.37,2020-06-16 19:40:06.0,11.74,2020-06-16 19:40:06.0,12.22,2020-06-16 19:40:06.0,13.67,2020-06-16 19:40:06.0,11.78
2020-06-16 20:10:06.0,16.02,2020-06-16 20:10:06.0,10.33,2020-06-16 20:10:06.0,11.7,2020-06-16 20:10:06.0,12.21,2020-06-16 20:10:06.0,13.79,2020-06-16 20:10:06.0,11.77
2020-06-16 20:40:44.0,15.98,2020-06-16 20:40:44.0,10.32,2020-06-16 20:40:44.0,11.67,2020-06-16 20:40:44.0,12.2,2020-06-16 20:40:44.0,13.85,2020-06-16 20:40:44.0,11.77
2020-06-16 21:10:44.0,15.9,2020-06-16 21:10:44.0,10.34,2020-06-16 21:10:44.0,11.66,2020-06-16 21:10:44.0,12.19,2020-06-16 21:10:44.0,13.84,2020-06-16 21:10:44.0,11.76
2020-06-16 21:40:44.0,15.88,2020-06-16 21:40:44.0,10.35,2020-06-16 21:40:44.0,11.64,2020-06-16 21:40:44.0,12.18,2020-06-16 21:40:44.0,13.84,2020-06-16 21:40:44.0,11.75
2020-06-16 22:10:44.0,15.89,2020-06-16 22:10:44.0,10.35,2020-06-16 22:10:44.0,11.63,2020-06-16 22:10:44.0,12.17,2020-06-16 22:10:44.0,13.86,2020-06-16 22:10:44.0,11.74
2020-06-16 22:40:44.0,15.93,2020-06-16 22:40:44.0,10.36,2020-06-16 22:40:44.0,11.62,2020-06-16 22:40:44.0,12.16,2020-06-16 22:40:44.0,13.88,2020-06-16 22:40:44.0,11.73
2020-06-16 23:10:44.0,15.9,2020-06-16 23:10:44.0,10.38,2020-06-16 23:10:44.0,11.62,2020-06-16 23:10:44.0,12.16,2020-06-16 23:10:44.0,13.88,2020-06-16 23:10:44.0,11.73
2020-06-16 23:41:02.0,15.92,2020-06-16 23:41:02.0,10.4,2020-06-16 23:41:02.0,11.62,2020-06-16 23:41:02.0,12.15,2020-06-16 23:41:02.0,13.89,2020-06-16 23:41:02.0,11.72
2020-06-17 00:11:02.0,15.95,2020-06-17 00:11:02.0,10.42,2020-06-17 00:11:02.0,11.62,2020-06-17 00:11:02.0,12.15,2020-06-17 00:11:02.0,13.89,2020-06-17 00:11:02.0,11.7
2020-06-17 00:41:02.0,15.96,2020-06-17 00:41:02.0,10.45,2020-06-17 00:41:02.0,11.63,2020-06-17 00:41:02.0,12.15,2020-06-17 00:41:02.0,13.89,2020-06-17 00:41:02.0,11.7
2020-06-17 01:11:02.0,15.98,2020-06-17 01:11:02.0,10.48,2020-06-17 01:11:02.0,11.64,2020-06-17 01:11:02.0,12.14,2020-06-17 01:11:02.0,13.89,2020-06-17 01:11:02.0,11.69
2020-06-17 01:41:02.0,15.99,2020-06-17 01:41:02.0,10.51,2020-06-17 01:41:02.0,11.64,2020-06-17 01:41:02.0,12.13,2020-06-17 01:41:02.0,13.89,2020-06-17 01:41:02.0,11.68
2020-06-17 02:11:02.0,16,2020-06-17 02:11:02.0,10.54,2020-06-17 02:11:02.0,11.66,2020-06-17 02:11:02.0,12.13,2020-06-17 02:11:02.0,13.89,2020-06-17 02:11:02.0,11.68
2020-06-17 02:41:18.0,16.03,2020-06-17 02:41:18.0,10.57,2020-06-17 02:41:18.0,11.68,2020-06-17 02:41:18.0,12.13,2020-06-17 02:41:18.0,13.89,2020-06-17 02:41:18.0,11.68
2020-06-17 03:11:18.0,16.02,2020-06-17 03:11:18.0,10.6,2020-06-17 03:11:18.0,11.73,2020-06-17 03:11:18.0,12.13,2020-06-17 03:11:18.0,13.88,2020-06-17 03:11:18.0,11.67
2020-06-17 03:41:18.0,16.05,2020-06-17 03:41:18.0,10.63,2020-06-17 03:41:18.0,11.74,2020-06-17 03:41:18.0,12.13,2020-06-17 03:41:18.0,13.88,2020-06-17 03:41:18.0,11.66
2020-06-17 04:11:18.0,16.08,2020-06-17 04:11:18.0,10.67,2020-06-17 04:11:18.0,11.75,2020-06-17 04:11:18.0,12.13,2020-06-17 04:11:18.0,13.89,2020-06-17 04:11:18.0,11.66
2020-06-17 04:41:18.0,16.13,2020-06-17 04:41:18.0,10.7,2020-06-17 04:41:18.0,11.76,2020-06-17 04:41:18.0,12.13,2020-06-17 04:41:18.0,13.89,2020-06-17 04:41:18.0,11.65
2020-06-17 05:11:18.0,16.13,2020-06-17 05:11:18.0,10.73,2020-06-17 05:11:18.0,11.78,2020-06-17 05:11:18.0,12.13,2020-06-17 05:11:18.0,13.88,2020-06-17 05:11:18.0,11.65
2020-06-17 05:41:36.0,16.14,2020-06-17 05:41:36.0,10.78,2020-06-17 05:41:36.0,11.8,2020-06-17 05:41:36.0,12.13,2020-06-17 05:41:36.0,13.88,2020-06-17 05:41:36.0,11.65
2020-06-17 06:11:36.0,16.15,2020-06-17 06:11:36.0,10.83,2020-06-17 06:11:36.0,11.81,2020-06-17 06:11:36.0,12.13,2020-06-17 06:11:36.0,13.87,2020-06-17 06:11:36.0,11.64
2020-06-17 06:41:36.0,16.14,2020-06-17 06:41:36.0,10.85,2020-06-17 06:41:36.0,11.83,2020-06-17 06:41:36.0,12.13,2020-06-17 06:41:36.0,13.86,2020-06-17 06:41:36.0,11.64
2020-06-17 07:11:36.0,16.12,2020-06-17 07:11:36.0,10.87,2020-06-17 07:11:36.0,11.85,2020-06-17 07:11:36.0,12.13,2020-06-17 07:11:36.0,13.71,2020-06-17 07:11:36.0,11.64
2020-06-17 07:41:36.0,16.09,2020-06-17 07:41:36.0,10.88,2020-06-17 07:41:36.0,11.86,2020-06-17 07:41:36.0,12.13,2020-06-17 07:41:36.0,13.7,2020-06-17 07:41:36.0,11.64
2020-06-17 08:11:36.0,16.04,2020-06-17 08:11:36.0,10.89,2020-06-17 08:11:36.0,11.87,2020-06-17 08:11:36.0,12.14,2020-06-17 08:11:36.0,13.69,2020-06-17 08:11:36.0,11.63
2020-06-17 08:41:56.0,15.99,2020-06-17 08:41:56.0,10.89,2020-06-17 08:41:56.0,11.88,2020-06-17 08:41:56.0,12.13,2020-06-17 08:41:56.0,13.67,2020-06-17 08:41:56.0,11.63
2020-06-17 09:11:56.0,15.93,2020-06-17 09:11:56.0,10.88,2020-06-17 09:11:56.0,11.89,2020-06-17 09:11:56.0,12.14,2020-06-17 09:11:56.0,13.68,2020-06-17 09:11:56.0,11.63
2020-06-17 09:41:56.0,15.88,2020-06-17 09:41:56.0,10.87,2020-06-17 09:41:56.0,11.88,2020-06-17 09:41:56.0,12.13,2020-06-17 09:41:56.0,13.67,2020-06-17 09:41:56.0,11.63
2020-06-17 10:11:56.0,15.8,2020-06-17 10:11:56.0,10.85,2020-06-17 10:11:56.0,11.89,2020-06-17 10:11:56.0,12.13,2020-06-17 10:11:56.0,13.65,2020-06-17 10:11:56.0,11.62
2020-06-17 10:41:56.0,15.7,2020-06-17 10:41:56.0,10.81,2020-06-17 10:41:56.0,11.88,2020-06-17 10:41:56.0,12.13,2020-06-17 10:41:56.0,13.44,2020-06-17 10:41:56.0,11.63
2020-06-17 11:11:56.0,15.64,2020-06-17 11:11:56.0,10.77,2020-06-17 11:11:56.0,11.87,2020-06-17 11:11:56.0,12.13,2020-06-17 11:11:56.0,13.57,2020-06-17 11:11:56.0,11.63
2020-06-17 11:42:14.0,15.58,2020-06-17 11:42:14.0,10.72,2020-06-17 11:42:14.0,11.86,2020-06-17 11:42:14.0,12.13,2020-06-17 11:42:14.0,13.4,2020-06-17 11:42:14.0,11.63
2020-06-17 12:12:14.0,15.43,2020-06-17 12:12:14.0,10.63,2020-06-17 12:12:14.0,11.84,2020-06-17 12:12:14.0,12.13,2020-06-17 12:12:14.0,13.59,2020-06-17 12:12:14.0,11.62
