2079 Eucaliptos - SoilR40 A 10 cm #1201[%],,2079 Eucaliptos - SoilR40 A 20 cm #1201[%],,2079 Eucaliptos - SoilR40 A 30 cm #1201[%],,2079 Eucaliptos - SoilR40 A 40 cm #1201[%],,2079 Eucaliptos - SoilR40 A 50 cm #1201[%],,2079 Eucaliptos - SoilR40 A 60 cm #1201[%],
2019-05-28 00:03:00.0,18.64,2019-05-28 00:03:00.0,19.78,2019-05-28 00:03:00.0,20.85,2019-05-28 00:03:00.0,15.58,2019-05-28 00:03:00.0,20.95,2019-05-28 00:03:00.0,18.27
2019-05-28 00:33:06.0,18.61,2019-05-28 00:33:06.0,19.7,2019-05-28 00:33:06.0,20.76,2019-05-28 00:33:06.0,15.48,2019-05-28 00:33:06.0,20.87,2019-05-28 00:33:06.0,18.23
2019-05-28 01:03:06.0,18.57,2019-05-28 01:03:06.0,19.64,2019-05-28 01:03:06.0,20.66,2019-05-28 01:03:06.0,15.41,2019-05-28 01:03:06.0,20.79,2019-05-28 01:03:06.0,18.2
2019-05-28 01:33:06.0,18.54,2019-05-28 01:33:06.0,19.58,2019-05-28 01:33:06.0,20.57,2019-05-28 01:33:06.0,15.32,2019-05-28 01:33:06.0,20.73,2019-05-28 01:33:06.0,18.16
2019-05-28 02:03:06.0,18.52,2019-05-28 02:03:06.0,19.53,2019-05-28 02:03:06.0,20.5,2019-05-28 02:03:06.0,15.25,2019-05-28 02:03:06.0,20.66,2019-05-28 02:03:06.0,18.14
2019-05-28 02:33:06.0,18.49,2019-05-28 02:33:06.0,19.47,2019-05-28 02:33:06.0,20.42,2019-05-28 02:33:06.0,15.17,2019-05-28 02:33:06.0,20.6,2019-05-28 02:33:06.0,18.11
2019-05-28 03:03:06.0,18.47,2019-05-28 03:03:06.0,19.43,2019-05-28 03:03:06.0,20.34,2019-05-28 03:03:06.0,15.09,2019-05-28 03:03:06.0,20.54,2019-05-28 03:03:06.0,18.09
2019-05-28 03:33:20.0,18.44,2019-05-28 03:33:20.0,19.4,2019-05-28 03:33:20.0,20.26,2019-05-28 03:33:20.0,15.02,2019-05-28 03:33:20.0,20.49,2019-05-28 03:33:20.0,18.07
2019-05-28 04:03:20.0,18.42,2019-05-28 04:03:20.0,19.35,2019-05-28 04:03:20.0,20.19,2019-05-28 04:03:20.0,14.95,2019-05-28 04:03:20.0,20.43,2019-05-28 04:03:20.0,18.05
2019-05-28 04:33:20.0,18.4,2019-05-28 04:33:20.0,19.33,2019-05-28 04:33:20.0,20.12,2019-05-28 04:33:20.0,14.89,2019-05-28 04:33:20.0,20.39,2019-05-28 04:33:20.0,18.03
2019-05-28 05:03:20.0,18.38,2019-05-28 05:03:20.0,19.3,2019-05-28 05:03:20.0,20.06,2019-05-28 05:03:20.0,14.83,2019-05-28 05:03:20.0,20.35,2019-05-28 05:03:20.0,18.02
2019-05-28 05:33:20.0,18.36,2019-05-28 05:33:20.0,19.26,2019-05-28 05:33:20.0,19.99,2019-05-28 05:33:20.0,14.75,2019-05-28 05:33:20.0,20.3,2019-05-28 05:33:20.0,18
2019-05-28 06:03:20.0,18.35,2019-05-28 06:03:20.0,19.23,2019-05-28 06:03:20.0,19.94,2019-05-28 06:03:20.0,14.7,2019-05-28 06:03:20.0,20.26,2019-05-28 06:03:20.0,17.99
2019-05-28 06:33:28.0,18.33,2019-05-28 06:33:28.0,19.2,2019-05-28 06:33:28.0,19.89,2019-05-28 06:33:28.0,14.65,2019-05-28 06:33:28.0,20.23,2019-05-28 06:33:28.0,17.98
2019-05-28 07:03:28.0,18.3,2019-05-28 07:03:28.0,19.17,2019-05-28 07:03:28.0,19.84,2019-05-28 07:03:28.0,14.59,2019-05-28 07:03:28.0,20.19,2019-05-28 07:03:28.0,17.97
2019-05-28 07:33:28.0,18.28,2019-05-28 07:33:28.0,19.14,2019-05-28 07:33:28.0,19.79,2019-05-28 07:33:28.0,14.54,2019-05-28 07:33:28.0,20.16,2019-05-28 07:33:28.0,17.96
2019-05-28 08:03:28.0,18.24,2019-05-28 08:03:28.0,19.11,2019-05-28 08:03:28.0,19.73,2019-05-28 08:03:28.0,14.49,2019-05-28 08:03:28.0,20.12,2019-05-28 08:03:28.0,17.94
2019-05-28 08:33:28.0,18.18,2019-05-28 08:33:28.0,19.07,2019-05-28 08:33:28.0,19.69,2019-05-28 08:33:28.0,14.44,2019-05-28 08:33:28.0,20.1,2019-05-28 08:33:28.0,17.93
2019-05-28 09:03:28.0,18.1,2019-05-28 09:03:28.0,19.04,2019-05-28 09:03:28.0,19.64,2019-05-28 09:03:28.0,14.4,2019-05-28 09:03:28.0,20.06,2019-05-28 09:03:28.0,17.92
2019-05-28 09:33:40.0,18,2019-05-28 09:33:40.0,18.98,2019-05-28 09:33:40.0,19.58,2019-05-28 09:33:40.0,14.37,2019-05-28 09:33:40.0,20.04,2019-05-28 09:33:40.0,17.9
2019-05-28 10:03:40.0,17.89,2019-05-28 10:03:40.0,18.91,2019-05-28 10:03:40.0,19.51,2019-05-28 10:03:40.0,14.31,2019-05-28 10:03:40.0,20,2019-05-28 10:03:40.0,17.89
2019-05-28 10:33:40.0,17.76,2019-05-28 10:33:40.0,18.84,2019-05-28 10:33:40.0,19.44,2019-05-28 10:33:40.0,14.26,2019-05-28 10:33:40.0,19.98,2019-05-28 10:33:40.0,17.86
2019-05-28 11:03:40.0,17.62,2019-05-28 11:03:40.0,18.75,2019-05-28 11:03:40.0,19.37,2019-05-28 11:03:40.0,14.23,2019-05-28 11:03:40.0,19.95,2019-05-28 11:03:40.0,17.85
2019-05-28 11:33:40.0,17.47,2019-05-28 11:33:40.0,18.65,2019-05-28 11:33:40.0,19.29,2019-05-28 11:33:40.0,14.19,2019-05-28 11:33:40.0,19.93,2019-05-28 11:33:40.0,17.84
2019-05-28 12:03:40.0,17.31,2019-05-28 12:03:40.0,18.55,2019-05-28 12:03:40.0,19.21,2019-05-28 12:03:40.0,14.13,2019-05-28 12:03:40.0,19.9,2019-05-28 12:03:40.0,17.84
2019-05-28 12:33:50.0,17.17,2019-05-28 12:33:50.0,18.45,2019-05-28 12:33:50.0,19.12,2019-05-28 12:33:50.0,14.08,2019-05-28 12:33:50.0,19.87,2019-05-28 12:33:50.0,17.83
2019-05-28 13:03:50.0,17.02,2019-05-28 13:03:50.0,18.34,2019-05-28 13:03:50.0,19.02,2019-05-28 13:03:50.0,14.02,2019-05-28 13:03:50.0,19.85,2019-05-28 13:03:50.0,17.82
2019-05-28 13:33:50.0,16.88,2019-05-28 13:33:50.0,18.22,2019-05-28 13:33:50.0,18.93,2019-05-28 13:33:50.0,13.97,2019-05-28 13:33:50.0,19.83,2019-05-28 13:33:50.0,17.81
2019-05-28 14:03:50.0,16.75,2019-05-28 14:03:50.0,18.11,2019-05-28 14:03:50.0,18.83,2019-05-28 14:03:50.0,13.91,2019-05-28 14:03:50.0,19.81,2019-05-28 14:03:50.0,17.81
2019-05-28 14:33:50.0,16.61,2019-05-28 14:33:50.0,18,2019-05-28 14:33:50.0,18.73,2019-05-28 14:33:50.0,13.87,2019-05-28 14:33:50.0,19.78,2019-05-28 14:33:50.0,17.81
2019-05-28 15:03:50.0,16.47,2019-05-28 15:03:50.0,17.88,2019-05-28 15:03:50.0,18.63,2019-05-28 15:03:50.0,13.81,2019-05-28 15:03:50.0,19.76,2019-05-28 15:03:50.0,17.81
2019-05-28 15:34:00.0,16.34,2019-05-28 15:34:00.0,17.77,2019-05-28 15:34:00.0,18.54,2019-05-28 15:34:00.0,13.75,2019-05-28 15:34:00.0,19.73,2019-05-28 15:34:00.0,17.8
2019-05-28 16:04:00.0,16.22,2019-05-28 16:04:00.0,17.65,2019-05-28 16:04:00.0,18.44,2019-05-28 16:04:00.0,13.69,2019-05-28 16:04:00.0,19.71,2019-05-28 16:04:00.0,17.8
2019-05-28 16:34:00.0,16.11,2019-05-28 16:34:00.0,17.54,2019-05-28 16:34:00.0,18.34,2019-05-28 16:34:00.0,13.64,2019-05-28 16:34:00.0,19.68,2019-05-28 16:34:00.0,17.8
2019-05-28 17:04:00.0,16.01,2019-05-28 17:04:00.0,17.43,2019-05-28 17:04:00.0,18.25,2019-05-28 17:04:00.0,13.58,2019-05-28 17:04:00.0,19.66,2019-05-28 17:04:00.0,17.79
2019-05-28 17:34:00.0,15.92,2019-05-28 17:34:00.0,17.32,2019-05-28 17:34:00.0,18.16,2019-05-28 17:34:00.0,13.52,2019-05-28 17:34:00.0,19.64,2019-05-28 17:34:00.0,17.79
2019-05-28 18:04:00.0,15.84,2019-05-28 18:04:00.0,17.22,2019-05-28 18:04:00.0,18.06,2019-05-28 18:04:00.0,13.46,2019-05-28 18:04:00.0,19.61,2019-05-28 18:04:00.0,17.79
2019-05-28 18:34:12.0,15.77,2019-05-28 18:34:12.0,17.12,2019-05-28 18:34:12.0,17.98,2019-05-28 18:34:12.0,13.4,2019-05-28 18:34:12.0,19.59,2019-05-28 18:34:12.0,17.77
2019-05-28 19:04:12.0,15.71,2019-05-28 19:04:12.0,17.03,2019-05-28 19:04:12.0,17.9,2019-05-28 19:04:12.0,13.34,2019-05-28 19:04:12.0,19.57,2019-05-28 19:04:12.0,17.77
2019-05-28 19:34:12.0,15.66,2019-05-28 19:34:12.0,16.94,2019-05-28 19:34:12.0,17.81,2019-05-28 19:34:12.0,13.27,2019-05-28 19:34:12.0,19.54,2019-05-28 19:34:12.0,17.77
2019-05-28 20:04:12.0,15.62,2019-05-28 20:04:12.0,16.85,2019-05-28 20:04:12.0,17.73,2019-05-28 20:04:12.0,13.23,2019-05-28 20:04:12.0,19.51,2019-05-28 20:04:12.0,17.76
2019-05-28 20:34:12.0,15.59,2019-05-28 20:34:12.0,16.78,2019-05-28 20:34:12.0,17.65,2019-05-28 20:34:12.0,13.17,2019-05-28 20:34:12.0,19.49,2019-05-28 20:34:12.0,17.75
2019-05-28 21:04:12.0,15.55,2019-05-28 21:04:12.0,16.7,2019-05-28 21:04:12.0,17.58,2019-05-28 21:04:12.0,13.12,2019-05-28 21:04:12.0,19.47,2019-05-28 21:04:12.0,17.75
2019-05-28 21:34:24.0,15.54,2019-05-28 21:34:24.0,16.64,2019-05-28 21:34:24.0,17.51,2019-05-28 21:34:24.0,13.07,2019-05-28 21:34:24.0,19.44,2019-05-28 21:34:24.0,17.74
2019-05-28 22:04:24.0,15.51,2019-05-28 22:04:24.0,16.58,2019-05-28 22:04:24.0,17.45,2019-05-28 22:04:24.0,13.02,2019-05-28 22:04:24.0,19.42,2019-05-28 22:04:24.0,17.73
2019-05-28 22:34:24.0,15.5,2019-05-28 22:34:24.0,16.52,2019-05-28 22:34:24.0,17.39,2019-05-28 22:34:24.0,12.97,2019-05-28 22:34:24.0,19.39,2019-05-28 22:34:24.0,17.71
2019-05-28 23:04:24.0,15.49,2019-05-28 23:04:24.0,16.46,2019-05-28 23:04:24.0,17.33,2019-05-28 23:04:24.0,12.92,2019-05-28 23:04:24.0,19.36,2019-05-28 23:04:24.0,17.69
2019-05-28 23:34:24.0,15.48,2019-05-28 23:34:24.0,16.4,2019-05-28 23:34:24.0,17.29,2019-05-28 23:34:24.0,12.87,2019-05-28 23:34:24.0,19.34,2019-05-28 23:34:24.0,17.68
2019-05-29 00:04:24.0,15.46,2019-05-29 00:04:24.0,16.36,2019-05-29 00:04:24.0,17.24,2019-05-29 00:04:24.0,12.82,2019-05-29 00:04:24.0,19.32,2019-05-29 00:04:24.0,17.67
2019-05-29 00:34:34.0,15.45,2019-05-29 00:34:34.0,16.31,2019-05-29 00:34:34.0,17.19,2019-05-29 00:34:34.0,12.79,2019-05-29 00:34:34.0,19.3,2019-05-29 00:34:34.0,17.65
2019-05-29 01:04:34.0,15.43,2019-05-29 01:04:34.0,16.27,2019-05-29 01:04:34.0,17.15,2019-05-29 01:04:34.0,12.75,2019-05-29 01:04:34.0,19.28,2019-05-29 01:04:34.0,17.65
2019-05-29 01:34:34.0,15.42,2019-05-29 01:34:34.0,16.23,2019-05-29 01:34:34.0,17.11,2019-05-29 01:34:34.0,12.71,2019-05-29 01:34:34.0,19.25,2019-05-29 01:34:34.0,17.63
2019-05-29 02:04:34.0,15.42,2019-05-29 02:04:34.0,16.19,2019-05-29 02:04:34.0,17.07,2019-05-29 02:04:34.0,12.68,2019-05-29 02:04:34.0,19.23,2019-05-29 02:04:34.0,17.63
2019-05-29 02:34:34.0,15.41,2019-05-29 02:34:34.0,16.15,2019-05-29 02:34:34.0,17.04,2019-05-29 02:34:34.0,12.65,2019-05-29 02:34:34.0,19.21,2019-05-29 02:34:34.0,17.62
2019-05-29 03:04:34.0,15.4,2019-05-29 03:04:34.0,16.12,2019-05-29 03:04:34.0,17.01,2019-05-29 03:04:34.0,12.61,2019-05-29 03:04:34.0,19.19,2019-05-29 03:04:34.0,17.61
2019-05-29 03:34:42.0,15.4,2019-05-29 03:34:42.0,16.09,2019-05-29 03:34:42.0,16.97,2019-05-29 03:34:42.0,12.59,2019-05-29 03:34:42.0,19.17,2019-05-29 03:34:42.0,17.6
2019-05-29 04:04:42.0,15.4,2019-05-29 04:04:42.0,16.06,2019-05-29 04:04:42.0,16.94,2019-05-29 04:04:42.0,12.56,2019-05-29 04:04:42.0,19.15,2019-05-29 04:04:42.0,17.6
2019-05-29 04:34:42.0,15.39,2019-05-29 04:34:42.0,16.03,2019-05-29 04:34:42.0,16.92,2019-05-29 04:34:42.0,12.54,2019-05-29 04:34:42.0,19.14,2019-05-29 04:34:42.0,17.59
2019-05-29 05:04:42.0,16.27,2019-05-29 05:04:42.0,15.89,2019-05-29 05:04:42.0,16.88,2019-05-29 05:04:42.0,12.54,2019-05-29 05:04:42.0,19.18,2019-05-29 05:04:42.0,17.74
2019-05-29 05:34:42.0,17.98,2019-05-29 05:34:42.0,16.12,2019-05-29 05:34:42.0,16.88,2019-05-29 05:34:42.0,12.51,2019-05-29 05:34:42.0,19.16,2019-05-29 05:34:42.0,17.7
2019-05-29 06:04:42.0,18.73,2019-05-29 06:04:42.0,16.4,2019-05-29 06:04:42.0,16.9,2019-05-29 06:04:42.0,12.5,2019-05-29 06:04:42.0,19.14,2019-05-29 06:04:42.0,17.68
2019-05-29 06:34:52.0,19.06,2019-05-29 06:34:52.0,16.66,2019-05-29 06:34:52.0,16.93,2019-05-29 06:34:52.0,12.49,2019-05-29 06:34:52.0,19.13,2019-05-29 06:34:52.0,17.65
2019-05-29 07:04:52.0,19.23,2019-05-29 07:04:52.0,16.88,2019-05-29 07:04:52.0,16.97,2019-05-29 07:04:52.0,12.48,2019-05-29 07:04:52.0,19.11,2019-05-29 07:04:52.0,17.64
2019-05-29 07:34:52.0,19.3,2019-05-29 07:34:52.0,17.07,2019-05-29 07:34:52.0,17.01,2019-05-29 07:34:52.0,12.47,2019-05-29 07:34:52.0,19.1,2019-05-29 07:34:52.0,17.61
2019-05-29 08:04:52.0,19.31,2019-05-29 08:04:52.0,17.23,2019-05-29 08:04:52.0,17.05,2019-05-29 08:04:52.0,12.47,2019-05-29 08:04:52.0,19.09,2019-05-29 08:04:52.0,17.59
2019-05-29 08:34:52.0,19.26,2019-05-29 08:34:52.0,17.36,2019-05-29 08:34:52.0,17.1,2019-05-29 08:34:52.0,12.48,2019-05-29 08:34:52.0,19.09,2019-05-29 08:34:52.0,17.56
2019-05-29 09:04:52.0,19.17,2019-05-29 09:04:52.0,17.46,2019-05-29 09:04:52.0,17.14,2019-05-29 09:04:52.0,12.48,2019-05-29 09:04:52.0,19.08,2019-05-29 09:04:52.0,17.55
2019-05-29 09:35:04.0,19.02,2019-05-29 09:35:04.0,17.53,2019-05-29 09:35:04.0,17.18,2019-05-29 09:35:04.0,12.49,2019-05-29 09:35:04.0,19.07,2019-05-29 09:35:04.0,17.53
2019-05-29 10:05:04.0,18.83,2019-05-29 10:05:04.0,17.57,2019-05-29 10:05:04.0,17.22,2019-05-29 10:05:04.0,12.5,2019-05-29 10:05:04.0,19.07,2019-05-29 10:05:04.0,17.51
2019-05-29 10:35:04.0,18.59,2019-05-29 10:35:04.0,17.6,2019-05-29 10:35:04.0,17.25,2019-05-29 10:35:04.0,12.51,2019-05-29 10:35:04.0,19.06,2019-05-29 10:35:04.0,17.49
2019-05-29 11:05:04.0,18.33,2019-05-29 11:05:04.0,17.59,2019-05-29 11:05:04.0,17.27,2019-05-29 11:05:04.0,12.51,2019-05-29 11:05:04.0,19.06,2019-05-29 11:05:04.0,17.48
2019-05-29 11:35:04.0,18.06,2019-05-29 11:35:04.0,17.58,2019-05-29 11:35:04.0,17.29,2019-05-29 11:35:04.0,12.51,2019-05-29 11:35:04.0,19.06,2019-05-29 11:35:04.0,17.47
2019-05-29 12:05:04.0,17.8,2019-05-29 12:05:04.0,17.54,2019-05-29 12:05:04.0,17.3,2019-05-29 12:05:04.0,12.51,2019-05-29 12:05:04.0,19.06,2019-05-29 12:05:04.0,17.46
2019-05-29 12:35:16.0,17.54,2019-05-29 12:35:16.0,17.5,2019-05-29 12:35:16.0,17.31,2019-05-29 12:35:16.0,12.51,2019-05-29 12:35:16.0,19.06,2019-05-29 12:35:16.0,17.45
2019-05-29 13:05:16.0,17.3,2019-05-29 13:05:16.0,17.43,2019-05-29 13:05:16.0,17.31,2019-05-29 13:05:16.0,12.5,2019-05-29 13:05:16.0,19.05,2019-05-29 13:05:16.0,17.45
2019-05-29 13:35:16.0,17.07,2019-05-29 13:35:16.0,17.36,2019-05-29 13:35:16.0,17.29,2019-05-29 13:35:16.0,12.5,2019-05-29 13:35:16.0,19.05,2019-05-29 13:35:16.0,17.44
2019-05-29 14:05:16.0,16.85,2019-05-29 14:05:16.0,17.29,2019-05-29 14:05:16.0,17.28,2019-05-29 14:05:16.0,12.49,2019-05-29 14:05:16.0,19.05,2019-05-29 14:05:16.0,17.43
2019-05-29 14:35:16.0,16.65,2019-05-29 14:35:16.0,17.2,2019-05-29 14:35:16.0,17.26,2019-05-29 14:35:16.0,12.48,2019-05-29 14:35:16.0,19.04,2019-05-29 14:35:16.0,17.42
2019-05-29 15:05:16.0,16.45,2019-05-29 15:05:16.0,17.11,2019-05-29 15:05:16.0,17.24,2019-05-29 15:05:16.0,12.47,2019-05-29 15:05:16.0,19.03,2019-05-29 15:05:16.0,17.42
2019-05-29 15:35:28.0,16.28,2019-05-29 15:35:28.0,17.02,2019-05-29 15:35:28.0,17.21,2019-05-29 15:35:28.0,12.46,2019-05-29 15:35:28.0,19.03,2019-05-29 15:35:28.0,17.41
2019-05-29 16:05:28.0,16.13,2019-05-29 16:05:28.0,16.94,2019-05-29 16:05:28.0,17.18,2019-05-29 16:05:28.0,12.45,2019-05-29 16:05:28.0,19.02,2019-05-29 16:05:28.0,17.41
2019-05-29 16:35:28.0,16,2019-05-29 16:35:28.0,16.85,2019-05-29 16:35:28.0,17.15,2019-05-29 16:35:28.0,12.44,2019-05-29 16:35:28.0,19.02,2019-05-29 16:35:28.0,17.4
2019-05-29 17:05:28.0,15.88,2019-05-29 17:05:28.0,16.76,2019-05-29 17:05:28.0,17.12,2019-05-29 17:05:28.0,12.42,2019-05-29 17:05:28.0,19.01,2019-05-29 17:05:28.0,17.39
2019-05-29 17:35:28.0,15.78,2019-05-29 17:35:28.0,16.68,2019-05-29 17:35:28.0,17.08,2019-05-29 17:35:28.0,12.4,2019-05-29 17:35:28.0,19,2019-05-29 17:35:28.0,17.39
2019-05-29 18:05:28.0,15.67,2019-05-29 18:05:28.0,16.6,2019-05-29 18:05:28.0,17.05,2019-05-29 18:05:28.0,12.38,2019-05-29 18:05:28.0,19,2019-05-29 18:05:28.0,17.39
2019-05-29 18:35:28.0,15.59,2019-05-29 18:35:28.0,16.52,2019-05-29 18:35:28.0,17.02,2019-05-29 18:35:28.0,12.36,2019-05-29 18:35:28.0,18.98,2019-05-29 18:35:28.0,17.37
2019-05-29 19:05:40.0,15.51,2019-05-29 19:05:40.0,16.45,2019-05-29 19:05:40.0,16.99,2019-05-29 19:05:40.0,12.33,2019-05-29 19:05:40.0,18.98,2019-05-29 19:05:40.0,17.38
2019-05-29 19:35:40.0,15.45,2019-05-29 19:35:40.0,16.37,2019-05-29 19:35:40.0,16.96,2019-05-29 19:35:40.0,12.31,2019-05-29 19:35:40.0,18.97,2019-05-29 19:35:40.0,17.37
2019-05-29 20:05:40.0,15.39,2019-05-29 20:05:40.0,16.31,2019-05-29 20:05:40.0,16.92,2019-05-29 20:05:40.0,12.29,2019-05-29 20:05:40.0,18.96,2019-05-29 20:05:40.0,17.36
2019-05-29 20:35:40.0,15.35,2019-05-29 20:35:40.0,16.25,2019-05-29 20:35:40.0,16.9,2019-05-29 20:35:40.0,12.26,2019-05-29 20:35:40.0,18.95,2019-05-29 20:35:40.0,17.36
2019-05-29 21:05:40.0,15.32,2019-05-29 21:05:40.0,16.2,2019-05-29 21:05:40.0,16.87,2019-05-29 21:05:40.0,12.25,2019-05-29 21:05:40.0,18.94,2019-05-29 21:05:40.0,17.36
2019-05-29 21:35:40.0,15.3,2019-05-29 21:35:40.0,16.14,2019-05-29 21:35:40.0,16.84,2019-05-29 21:35:40.0,12.23,2019-05-29 21:35:40.0,18.93,2019-05-29 21:35:40.0,17.35
2019-05-29 22:05:50.0,15.29,2019-05-29 22:05:50.0,16.1,2019-05-29 22:05:50.0,16.81,2019-05-29 22:05:50.0,12.2,2019-05-29 22:05:50.0,18.92,2019-05-29 22:05:50.0,17.34
2019-05-29 22:35:50.0,15.28,2019-05-29 22:35:50.0,16.05,2019-05-29 22:35:50.0,16.79,2019-05-29 22:35:50.0,12.18,2019-05-29 22:35:50.0,18.9,2019-05-29 22:35:50.0,17.32
2019-05-29 23:05:50.0,15.27,2019-05-29 23:05:50.0,16.02,2019-05-29 23:05:50.0,16.77,2019-05-29 23:05:50.0,12.17,2019-05-29 23:05:50.0,18.89,2019-05-29 23:05:50.0,17.32
2019-05-29 23:35:50.0,15.28,2019-05-29 23:35:50.0,15.98,2019-05-29 23:35:50.0,16.75,2019-05-29 23:35:50.0,12.15,2019-05-29 23:35:50.0,18.88,2019-05-29 23:35:50.0,17.3
2019-05-30 00:05:50.0,15.27,2019-05-30 00:05:50.0,15.95,2019-05-30 00:05:50.0,16.73,2019-05-30 00:05:50.0,12.12,2019-05-30 00:05:50.0,18.87,2019-05-30 00:05:50.0,17.29
2019-05-30 00:35:50.0,15.28,2019-05-30 00:35:50.0,15.92,2019-05-30 00:35:50.0,16.71,2019-05-30 00:35:50.0,12.1,2019-05-30 00:35:50.0,18.86,2019-05-30 00:35:50.0,17.29
2019-05-30 01:06:00.0,15.29,2019-05-30 01:06:00.0,15.9,2019-05-30 01:06:00.0,16.7,2019-05-30 01:06:00.0,12.09,2019-05-30 01:06:00.0,18.85,2019-05-30 01:06:00.0,17.28
2019-05-30 01:36:00.0,15.29,2019-05-30 01:36:00.0,15.87,2019-05-30 01:36:00.0,16.69,2019-05-30 01:36:00.0,12.08,2019-05-30 01:36:00.0,18.83,2019-05-30 01:36:00.0,17.27
2019-05-30 02:06:00.0,15.29,2019-05-30 02:06:00.0,15.85,2019-05-30 02:06:00.0,16.68,2019-05-30 02:06:00.0,12.05,2019-05-30 02:06:00.0,18.83,2019-05-30 02:06:00.0,17.26
2019-05-30 02:36:00.0,15.3,2019-05-30 02:36:00.0,15.83,2019-05-30 02:36:00.0,16.66,2019-05-30 02:36:00.0,12.05,2019-05-30 02:36:00.0,18.82,2019-05-30 02:36:00.0,17.25
2019-05-30 03:06:00.0,15.3,2019-05-30 03:06:00.0,15.82,2019-05-30 03:06:00.0,16.66,2019-05-30 03:06:00.0,12.04,2019-05-30 03:06:00.0,18.81,2019-05-30 03:06:00.0,17.25
2019-05-30 03:36:00.0,15.31,2019-05-30 03:36:00.0,15.8,2019-05-30 03:36:00.0,16.65,2019-05-30 03:36:00.0,12.02,2019-05-30 03:36:00.0,18.8,2019-05-30 03:36:00.0,17.25
2019-05-30 04:06:10.0,15.32,2019-05-30 04:06:10.0,15.78,2019-05-30 04:06:10.0,16.64,2019-05-30 04:06:10.0,12.01,2019-05-30 04:06:10.0,18.8,2019-05-30 04:06:10.0,17.24
2019-05-30 04:36:10.0,15.32,2019-05-30 04:36:10.0,15.77,2019-05-30 04:36:10.0,16.64,2019-05-30 04:36:10.0,12.01,2019-05-30 04:36:10.0,18.79,2019-05-30 04:36:10.0,17.25
2019-05-30 05:06:10.0,15.33,2019-05-30 05:06:10.0,15.76,2019-05-30 05:06:10.0,16.63,2019-05-30 05:06:10.0,12,2019-05-30 05:06:10.0,18.79,2019-05-30 05:06:10.0,17.23
2019-05-30 05:36:10.0,15.34,2019-05-30 05:36:10.0,15.75,2019-05-30 05:36:10.0,16.62,2019-05-30 05:36:10.0,12,2019-05-30 05:36:10.0,18.78,2019-05-30 05:36:10.0,17.23
2019-05-30 06:06:10.0,15.34,2019-05-30 06:06:10.0,15.74,2019-05-30 06:06:10.0,16.62,2019-05-30 06:06:10.0,11.99,2019-05-30 06:06:10.0,18.77,2019-05-30 06:06:10.0,17.22
2019-05-30 06:36:10.0,15.35,2019-05-30 06:36:10.0,15.73,2019-05-30 06:36:10.0,16.62,2019-05-30 06:36:10.0,11.99,2019-05-30 06:36:10.0,18.77,2019-05-30 06:36:10.0,17.22
2019-05-30 07:06:20.0,15.36,2019-05-30 07:06:20.0,15.72,2019-05-30 07:06:20.0,16.61,2019-05-30 07:06:20.0,11.97,2019-05-30 07:06:20.0,18.76,2019-05-30 07:06:20.0,17.21
2019-05-30 07:36:20.0,15.36,2019-05-30 07:36:20.0,15.71,2019-05-30 07:36:20.0,16.6,2019-05-30 07:36:20.0,11.97,2019-05-30 07:36:20.0,18.76,2019-05-30 07:36:20.0,17.2
2019-05-30 08:06:20.0,15.34,2019-05-30 08:06:20.0,15.7,2019-05-30 08:06:20.0,16.6,2019-05-30 08:06:20.0,11.96,2019-05-30 08:06:20.0,18.75,2019-05-30 08:06:20.0,17.2
2019-05-30 08:36:20.0,15.32,2019-05-30 08:36:20.0,15.69,2019-05-30 08:36:20.0,16.59,2019-05-30 08:36:20.0,11.96,2019-05-30 08:36:20.0,18.75,2019-05-30 08:36:20.0,17.19
2019-05-30 09:06:20.0,15.28,2019-05-30 09:06:20.0,15.68,2019-05-30 09:06:20.0,16.59,2019-05-30 09:06:20.0,11.95,2019-05-30 09:06:20.0,18.75,2019-05-30 09:06:20.0,17.19
2019-05-30 09:36:20.0,15.23,2019-05-30 09:36:20.0,15.67,2019-05-30 09:36:20.0,16.59,2019-05-30 09:36:20.0,11.95,2019-05-30 09:36:20.0,18.74,2019-05-30 09:36:20.0,17.18
2019-05-30 10:06:30.0,15.17,2019-05-30 10:06:30.0,15.64,2019-05-30 10:06:30.0,16.58,2019-05-30 10:06:30.0,11.94,2019-05-30 10:06:30.0,18.73,2019-05-30 10:06:30.0,17.17
2019-05-30 10:36:30.0,15.08,2019-05-30 10:36:30.0,15.62,2019-05-30 10:36:30.0,16.58,2019-05-30 10:36:30.0,11.94,2019-05-30 10:36:30.0,18.74,2019-05-30 10:36:30.0,17.17
2019-05-30 11:06:30.0,14.92,2019-05-30 11:06:30.0,15.58,2019-05-30 11:06:30.0,16.57,2019-05-30 11:06:30.0,11.94,2019-05-30 11:06:30.0,18.73,2019-05-30 11:06:30.0,17.17
2019-05-30 11:36:30.0,14.77,2019-05-30 11:36:30.0,15.54,2019-05-30 11:36:30.0,16.56,2019-05-30 11:36:30.0,11.93,2019-05-30 11:36:30.0,18.74,2019-05-30 11:36:30.0,17.17
2019-05-30 12:06:30.0,14.66,2019-05-30 12:06:30.0,15.49,2019-05-30 12:06:30.0,16.55,2019-05-30 12:06:30.0,11.93,2019-05-30 12:06:30.0,18.73,2019-05-30 12:06:30.0,17.16
