1161 Eucaliptos Ligeira - SoilR40 A 10 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 20 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 30 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 40 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 50 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 60 cm #1201[%],
2019-05-28 13:04:48.0,20.9,2019-05-28 13:04:48.0,26.98,2019-05-28 13:04:48.0,21.91,2019-05-28 13:04:48.0,22.92,2019-05-28 13:04:48.0,16.79,2019-05-28 13:04:48.0,14.06
2019-05-28 13:34:48.0,20.69,2019-05-28 13:34:48.0,26.77,2019-05-28 13:34:48.0,21.81,2019-05-28 13:34:48.0,22.84,2019-05-28 13:34:48.0,16.74,2019-05-28 13:34:48.0,14.03
2019-05-28 14:04:48.0,20.51,2019-05-28 14:04:48.0,26.52,2019-05-28 14:04:48.0,21.71,2019-05-28 14:04:48.0,22.76,2019-05-28 14:04:48.0,16.7,2019-05-28 14:04:48.0,14
2019-05-28 14:34:48.0,20.33,2019-05-28 14:34:48.0,26.19,2019-05-28 14:34:48.0,21.61,2019-05-28 14:34:48.0,22.66,2019-05-28 14:34:48.0,16.64,2019-05-28 14:34:48.0,13.97
2019-05-28 15:04:56.0,20.14,2019-05-28 15:04:56.0,25.99,2019-05-28 15:04:56.0,21.51,2019-05-28 15:04:56.0,22.58,2019-05-28 15:04:56.0,16.57,2019-05-28 15:04:56.0,13.94
2019-05-28 15:34:56.0,19.94,2019-05-28 15:34:56.0,25.81,2019-05-28 15:34:56.0,21.4,2019-05-28 15:34:56.0,22.48,2019-05-28 15:34:56.0,16.52,2019-05-28 15:34:56.0,13.9
2019-05-28 16:04:56.0,19.77,2019-05-28 16:04:56.0,25.71,2019-05-28 16:04:56.0,21.28,2019-05-28 16:04:56.0,22.4,2019-05-28 16:04:56.0,16.47,2019-05-28 16:04:56.0,13.88
2019-05-28 16:34:56.0,19.63,2019-05-28 16:34:56.0,25.53,2019-05-28 16:34:56.0,21.18,2019-05-28 16:34:56.0,22.31,2019-05-28 16:34:56.0,16.41,2019-05-28 16:34:56.0,13.85
2019-05-28 17:04:56.0,19.5,2019-05-28 17:04:56.0,25.43,2019-05-28 17:04:56.0,21.06,2019-05-28 17:04:56.0,22.23,2019-05-28 17:04:56.0,16.36,2019-05-28 17:04:56.0,13.83
2019-05-28 17:34:56.0,19.37,2019-05-28 17:34:56.0,25.27,2019-05-28 17:34:56.0,20.95,2019-05-28 17:34:56.0,22.14,2019-05-28 17:34:56.0,16.32,2019-05-28 17:34:56.0,13.8
2019-05-28 18:05:06.0,19.26,2019-05-28 18:05:06.0,25.07,2019-05-28 18:05:06.0,20.83,2019-05-28 18:05:06.0,22.03,2019-05-28 18:05:06.0,16.25,2019-05-28 18:05:06.0,13.77
2019-05-28 18:35:06.0,19.16,2019-05-28 18:35:06.0,24.97,2019-05-28 18:35:06.0,20.7,2019-05-28 18:35:06.0,21.94,2019-05-28 18:35:06.0,16.2,2019-05-28 18:35:06.0,13.74
2019-05-28 19:05:06.0,19.07,2019-05-28 19:05:06.0,24.83,2019-05-28 19:05:06.0,20.58,2019-05-28 19:05:06.0,21.85,2019-05-28 19:05:06.0,16.14,2019-05-28 19:05:06.0,13.71
2019-05-28 19:35:06.0,18.99,2019-05-28 19:35:06.0,24.64,2019-05-28 19:35:06.0,20.45,2019-05-28 19:35:06.0,21.77,2019-05-28 19:35:06.0,16.09,2019-05-28 19:35:06.0,13.67
2019-05-28 20:05:06.0,18.93,2019-05-28 20:05:06.0,24.46,2019-05-28 20:05:06.0,20.31,2019-05-28 20:05:06.0,21.67,2019-05-28 20:05:06.0,16.03,2019-05-28 20:05:06.0,13.61
2019-05-28 20:35:06.0,18.86,2019-05-28 20:35:06.0,24.43,2019-05-28 20:35:06.0,20.19,2019-05-28 20:35:06.0,21.59,2019-05-28 20:35:06.0,15.98,2019-05-28 20:35:06.0,13.58
2019-05-28 21:05:14.0,18.81,2019-05-28 21:05:14.0,24.29,2019-05-28 21:05:14.0,20.04,2019-05-28 21:05:14.0,21.51,2019-05-28 21:05:14.0,15.92,2019-05-28 21:05:14.0,13.54
2019-05-28 21:35:14.0,18.75,2019-05-28 21:35:14.0,24.17,2019-05-28 21:35:14.0,19.92,2019-05-28 21:35:14.0,21.42,2019-05-28 21:35:14.0,15.87,2019-05-28 21:35:14.0,13.51
2019-05-28 22:05:14.0,18.7,2019-05-28 22:05:14.0,24.01,2019-05-28 22:05:14.0,19.8,2019-05-28 22:05:14.0,21.34,2019-05-28 22:05:14.0,15.82,2019-05-28 22:05:14.0,13.48
2019-05-28 22:35:14.0,18.66,2019-05-28 22:35:14.0,24.03,2019-05-28 22:35:14.0,19.69,2019-05-28 22:35:14.0,21.25,2019-05-28 22:35:14.0,15.76,2019-05-28 22:35:14.0,13.45
2019-05-28 23:05:14.0,18.65,2019-05-28 23:05:14.0,23.84,2019-05-28 23:05:14.0,19.57,2019-05-28 23:05:14.0,21.17,2019-05-28 23:05:14.0,15.7,2019-05-28 23:05:14.0,13.41
2019-05-28 23:35:14.0,18.6,2019-05-28 23:35:14.0,23.75,2019-05-28 23:35:14.0,19.49,2019-05-28 23:35:14.0,21.09,2019-05-28 23:35:14.0,15.65,2019-05-28 23:35:14.0,13.37
2019-05-29 00:05:24.0,18.57,2019-05-29 00:05:24.0,23.69,2019-05-29 00:05:24.0,19.38,2019-05-29 00:05:24.0,21.01,2019-05-29 00:05:24.0,15.6,2019-05-29 00:05:24.0,13.35
2019-05-29 00:35:24.0,18.56,2019-05-29 00:35:24.0,23.55,2019-05-29 00:35:24.0,19.27,2019-05-29 00:35:24.0,20.93,2019-05-29 00:35:24.0,15.54,2019-05-29 00:35:24.0,13.32
2019-05-29 01:05:24.0,18.53,2019-05-29 01:05:24.0,23.49,2019-05-29 01:05:24.0,19.17,2019-05-29 01:05:24.0,20.86,2019-05-29 01:05:24.0,15.49,2019-05-29 01:05:24.0,13.29
2019-05-29 01:35:24.0,18.52,2019-05-29 01:35:24.0,23.42,2019-05-29 01:35:24.0,19.08,2019-05-29 01:35:24.0,20.77,2019-05-29 01:35:24.0,15.44,2019-05-29 01:35:24.0,13.26
2019-05-29 02:05:24.0,18.48,2019-05-29 02:05:24.0,23.35,2019-05-29 02:05:24.0,18.96,2019-05-29 02:05:24.0,20.7,2019-05-29 02:05:24.0,15.39,2019-05-29 02:05:24.0,13.23
2019-05-29 02:35:24.0,18.45,2019-05-29 02:35:24.0,23.29,2019-05-29 02:35:24.0,18.86,2019-05-29 02:35:24.0,20.62,2019-05-29 02:35:24.0,15.34,2019-05-29 02:35:24.0,13.2
2019-05-29 03:05:32.0,18.46,2019-05-29 03:05:32.0,23.24,2019-05-29 03:05:32.0,18.78,2019-05-29 03:05:32.0,20.55,2019-05-29 03:05:32.0,15.3,2019-05-29 03:05:32.0,13.17
2019-05-29 03:35:32.0,18.44,2019-05-29 03:35:32.0,23.18,2019-05-29 03:35:32.0,18.7,2019-05-29 03:35:32.0,20.47,2019-05-29 03:35:32.0,15.26,2019-05-29 03:35:32.0,13.15
2019-05-29 04:05:32.0,18.42,2019-05-29 04:05:32.0,23.12,2019-05-29 04:05:32.0,18.63,2019-05-29 04:05:32.0,20.4,2019-05-29 04:05:32.0,15.21,2019-05-29 04:05:32.0,13.12
2019-05-29 04:35:32.0,18.4,2019-05-29 04:35:32.0,23.08,2019-05-29 04:35:32.0,18.54,2019-05-29 04:35:32.0,20.33,2019-05-29 04:35:32.0,15.15,2019-05-29 04:35:32.0,13.09
2019-05-29 05:05:32.0,18.39,2019-05-29 05:05:32.0,23.03,2019-05-29 05:05:32.0,18.48,2019-05-29 05:05:32.0,20.27,2019-05-29 05:05:32.0,15.12,2019-05-29 05:05:32.0,13.06
2019-05-29 05:35:32.0,18.38,2019-05-29 05:35:32.0,22.98,2019-05-29 05:35:32.0,18.36,2019-05-29 05:35:32.0,20.2,2019-05-29 05:35:32.0,15.07,2019-05-29 05:35:32.0,13.03
2019-05-29 06:05:40.0,18.37,2019-05-29 06:05:40.0,22.94,2019-05-29 06:05:40.0,18.33,2019-05-29 06:05:40.0,20.13,2019-05-29 06:05:40.0,15.05,2019-05-29 06:05:40.0,13.01
2019-05-29 06:35:40.0,18.35,2019-05-29 06:35:40.0,22.9,2019-05-29 06:35:40.0,18.24,2019-05-29 06:35:40.0,20.08,2019-05-29 06:35:40.0,15.03,2019-05-29 06:35:40.0,12.98
2019-05-29 07:05:40.0,18.33,2019-05-29 07:05:40.0,22.85,2019-05-29 07:05:40.0,18.17,2019-05-29 07:05:40.0,20.01,2019-05-29 07:05:40.0,14.97,2019-05-29 07:05:40.0,12.96
