1161 Eucaliptos Ligeira - SoilR40 A 10 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 20 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 30 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 40 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 50 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 60 cm #1201[%],
2019-06-25 19:41:48.0,16.11,2019-06-25 19:41:48.0,16.14,2019-06-25 19:41:48.0,11.24,2019-06-25 19:41:48.0,12.24,2019-06-25 19:41:48.0,9.95,2019-06-25 19:41:48.0,8.66
2019-06-25 20:11:48.0,16.07,2019-06-25 20:11:48.0,16.15,2019-06-25 20:11:48.0,11.24,2019-06-25 20:11:48.0,12.25,2019-06-25 20:11:48.0,9.94,2019-06-25 20:11:48.0,8.66
2019-06-25 20:41:48.0,16.05,2019-06-25 20:41:48.0,16.14,2019-06-25 20:41:48.0,11.24,2019-06-25 20:41:48.0,12.24,2019-06-25 20:41:48.0,9.94,2019-06-25 20:41:48.0,8.65
2019-06-25 21:11:48.0,16.03,2019-06-25 21:11:48.0,16.15,2019-06-25 21:11:48.0,11.24,2019-06-25 21:11:48.0,12.23,2019-06-25 21:11:48.0,9.93,2019-06-25 21:11:48.0,8.65
2019-06-25 21:41:48.0,16.02,2019-06-25 21:41:48.0,16.14,2019-06-25 21:41:48.0,11.23,2019-06-25 21:41:48.0,12.21,2019-06-25 21:41:48.0,9.93,2019-06-25 21:41:48.0,8.65
2019-06-25 22:11:48.0,16,2019-06-25 22:11:48.0,16.15,2019-06-25 22:11:48.0,11.24,2019-06-25 22:11:48.0,12.23,2019-06-25 22:11:48.0,9.93,2019-06-25 22:11:48.0,8.65
2019-06-25 22:41:58.0,16,2019-06-25 22:41:58.0,16.16,2019-06-25 22:41:58.0,11.24,2019-06-25 22:41:58.0,12.23,2019-06-25 22:41:58.0,9.92,2019-06-25 22:41:58.0,8.65
2019-06-25 23:11:58.0,15.99,2019-06-25 23:11:58.0,16.14,2019-06-25 23:11:58.0,11.24,2019-06-25 23:11:58.0,12.22,2019-06-25 23:11:58.0,9.91,2019-06-25 23:11:58.0,8.65
2019-06-25 23:41:58.0,15.98,2019-06-25 23:41:58.0,16.16,2019-06-25 23:41:58.0,11.25,2019-06-25 23:41:58.0,12.22,2019-06-25 23:41:58.0,9.91,2019-06-25 23:41:58.0,8.65
2019-06-26 00:11:58.0,15.97,2019-06-26 00:11:58.0,16.15,2019-06-26 00:11:58.0,11.25,2019-06-26 00:11:58.0,12.21,2019-06-26 00:11:58.0,9.91,2019-06-26 00:11:58.0,8.64
2019-06-26 00:41:58.0,15.97,2019-06-26 00:41:58.0,16.18,2019-06-26 00:41:58.0,11.25,2019-06-26 00:41:58.0,12.21,2019-06-26 00:41:58.0,9.91,2019-06-26 00:41:58.0,8.65
2019-06-26 01:11:58.0,15.97,2019-06-26 01:11:58.0,16.16,2019-06-26 01:11:58.0,11.26,2019-06-26 01:11:58.0,12.22,2019-06-26 01:11:58.0,9.9,2019-06-26 01:11:58.0,8.64
2019-06-26 01:42:06.0,15.95,2019-06-26 01:42:06.0,16.17,2019-06-26 01:42:06.0,11.26,2019-06-26 01:42:06.0,12.21,2019-06-26 01:42:06.0,9.89,2019-06-26 01:42:06.0,8.64
2019-06-26 02:12:06.0,15.95,2019-06-26 02:12:06.0,16.17,2019-06-26 02:12:06.0,11.27,2019-06-26 02:12:06.0,12.21,2019-06-26 02:12:06.0,9.89,2019-06-26 02:12:06.0,8.64
2019-06-26 02:42:06.0,15.94,2019-06-26 02:42:06.0,16.17,2019-06-26 02:42:06.0,11.27,2019-06-26 02:42:06.0,12.21,2019-06-26 02:42:06.0,9.89,2019-06-26 02:42:06.0,8.64
2019-06-26 03:12:06.0,15.92,2019-06-26 03:12:06.0,16.18,2019-06-26 03:12:06.0,11.28,2019-06-26 03:12:06.0,12.21,2019-06-26 03:12:06.0,9.89,2019-06-26 03:12:06.0,8.64
2019-06-26 03:42:06.0,15.92,2019-06-26 03:42:06.0,16.18,2019-06-26 03:42:06.0,11.29,2019-06-26 03:42:06.0,12.21,2019-06-26 03:42:06.0,9.89,2019-06-26 03:42:06.0,8.64
2019-06-26 04:12:06.0,15.91,2019-06-26 04:12:06.0,16.18,2019-06-26 04:12:06.0,11.3,2019-06-26 04:12:06.0,12.21,2019-06-26 04:12:06.0,9.89,2019-06-26 04:12:06.0,8.64
2019-06-26 04:42:16.0,15.9,2019-06-26 04:42:16.0,16.18,2019-06-26 04:42:16.0,11.3,2019-06-26 04:42:16.0,12.21,2019-06-26 04:42:16.0,9.89,2019-06-26 04:42:16.0,8.64
2019-06-26 05:12:16.0,15.89,2019-06-26 05:12:16.0,16.2,2019-06-26 05:12:16.0,11.3,2019-06-26 05:12:16.0,12.21,2019-06-26 05:12:16.0,9.89,2019-06-26 05:12:16.0,8.64
2019-06-26 05:42:16.0,15.88,2019-06-26 05:42:16.0,16.19,2019-06-26 05:42:16.0,11.32,2019-06-26 05:42:16.0,12.21,2019-06-26 05:42:16.0,9.89,2019-06-26 05:42:16.0,8.63
2019-06-26 06:12:16.0,15.87,2019-06-26 06:12:16.0,16.2,2019-06-26 06:12:16.0,11.32,2019-06-26 06:12:16.0,12.21,2019-06-26 06:12:16.0,9.89,2019-06-26 06:12:16.0,8.64
2019-06-26 06:42:16.0,15.85,2019-06-26 06:42:16.0,16.21,2019-06-26 06:42:16.0,11.33,2019-06-26 06:42:16.0,12.22,2019-06-26 06:42:16.0,9.89,2019-06-26 06:42:16.0,8.64
2019-06-26 07:12:16.0,15.84,2019-06-26 07:12:16.0,16.2,2019-06-26 07:12:16.0,11.34,2019-06-26 07:12:16.0,12.21,2019-06-26 07:12:16.0,9.89,2019-06-26 07:12:16.0,8.63
2019-06-26 07:42:26.0,15.82,2019-06-26 07:42:26.0,16.2,2019-06-26 07:42:26.0,11.34,2019-06-26 07:42:26.0,12.21,2019-06-26 07:42:26.0,9.89,2019-06-26 07:42:26.0,8.63
2019-06-26 08:12:26.0,15.82,2019-06-26 08:12:26.0,16.21,2019-06-26 08:12:26.0,11.35,2019-06-26 08:12:26.0,12.22,2019-06-26 08:12:26.0,9.89,2019-06-26 08:12:26.0,8.65
2019-06-26 08:42:26.0,15.82,2019-06-26 08:42:26.0,16.2,2019-06-26 08:42:26.0,11.34,2019-06-26 08:42:26.0,12.22,2019-06-26 08:42:26.0,9.9,2019-06-26 08:42:26.0,8.65
2019-06-26 09:12:26.0,15.82,2019-06-26 09:12:26.0,16.18,2019-06-26 09:12:26.0,11.35,2019-06-26 09:12:26.0,12.22,2019-06-26 09:12:26.0,9.9,2019-06-26 09:12:26.0,8.65
2019-06-26 09:42:26.0,15.81,2019-06-26 09:42:26.0,16.19,2019-06-26 09:42:26.0,11.36,2019-06-26 09:42:26.0,12.22,2019-06-26 09:42:26.0,9.9,2019-06-26 09:42:26.0,8.65
2019-06-26 10:12:26.0,15.8,2019-06-26 10:12:26.0,16.2,2019-06-26 10:12:26.0,11.36,2019-06-26 10:12:26.0,12.23,2019-06-26 10:12:26.0,9.9,2019-06-26 10:12:26.0,8.64
2019-06-26 10:42:34.0,15.78,2019-06-26 10:42:34.0,16.18,2019-06-26 10:42:34.0,11.36,2019-06-26 10:42:34.0,12.24,2019-06-26 10:42:34.0,9.9,2019-06-26 10:42:34.0,8.64
2019-06-26 11:12:34.0,15.76,2019-06-26 11:12:34.0,16.18,2019-06-26 11:12:34.0,11.37,2019-06-26 11:12:34.0,12.24,2019-06-26 11:12:34.0,9.9,2019-06-26 11:12:34.0,8.64
2019-06-26 11:42:34.0,15.73,2019-06-26 11:42:34.0,16.17,2019-06-26 11:42:34.0,11.38,2019-06-26 11:42:34.0,12.24,2019-06-26 11:42:34.0,9.9,2019-06-26 11:42:34.0,8.64
2019-06-26 12:12:34.0,15.7,2019-06-26 12:12:34.0,16.14,2019-06-26 12:12:34.0,11.38,2019-06-26 12:12:34.0,12.24,2019-06-26 12:12:34.0,9.9,2019-06-26 12:12:34.0,8.64
2019-06-26 12:42:34.0,15.65,2019-06-26 12:42:34.0,16.13,2019-06-26 12:42:34.0,11.37,2019-06-26 12:42:34.0,12.24,2019-06-26 12:42:34.0,9.9,2019-06-26 12:42:34.0,8.64
2019-06-26 13:12:34.0,15.59,2019-06-26 13:12:34.0,16.09,2019-06-26 13:12:34.0,11.37,2019-06-26 13:12:34.0,12.25,2019-06-26 13:12:34.0,9.9,2019-06-26 13:12:34.0,8.63
2019-06-26 13:42:44.0,15.5,2019-06-26 13:42:44.0,16.08,2019-06-26 13:42:44.0,11.37,2019-06-26 13:42:44.0,12.25,2019-06-26 13:42:44.0,9.91,2019-06-26 13:42:44.0,8.64
2019-06-26 14:12:44.0,15.38,2019-06-26 14:12:44.0,16.05,2019-06-26 14:12:44.0,11.38,2019-06-26 14:12:44.0,12.25,2019-06-26 14:12:44.0,9.9,2019-06-26 14:12:44.0,8.63
2019-06-26 14:42:44.0,15.34,2019-06-26 14:42:44.0,16.01,2019-06-26 14:42:44.0,11.37,2019-06-26 14:42:44.0,12.25,2019-06-26 14:42:44.0,9.91,2019-06-26 14:42:44.0,8.62
2019-06-26 15:12:44.0,15.24,2019-06-26 15:12:44.0,15.98,2019-06-26 15:12:44.0,11.38,2019-06-26 15:12:44.0,12.25,2019-06-26 15:12:44.0,9.91,2019-06-26 15:12:44.0,8.62
2019-06-26 15:42:44.0,15.19,2019-06-26 15:42:44.0,15.94,2019-06-26 15:42:44.0,11.37,2019-06-26 15:42:44.0,12.25,2019-06-26 15:42:44.0,9.91,2019-06-26 15:42:44.0,8.62
2019-06-26 16:12:44.0,15.14,2019-06-26 16:12:44.0,15.89,2019-06-26 16:12:44.0,11.36,2019-06-26 16:12:44.0,12.25,2019-06-26 16:12:44.0,9.91,2019-06-26 16:12:44.0,8.63
2019-06-26 16:42:56.0,15.08,2019-06-26 16:42:56.0,15.85,2019-06-26 16:42:56.0,11.36,2019-06-26 16:42:56.0,12.24,2019-06-26 16:42:56.0,9.91,2019-06-26 16:42:56.0,8.62
2019-06-26 17:12:54.0,15,2019-06-26 17:12:54.0,15.8,2019-06-26 17:12:54.0,11.34,2019-06-26 17:12:54.0,12.25,2019-06-26 17:12:54.0,9.91,2019-06-26 17:12:54.0,8.62
2019-06-26 17:42:54.0,14.91,2019-06-26 17:42:54.0,15.75,2019-06-26 17:42:54.0,11.33,2019-06-26 17:42:54.0,12.24,2019-06-26 17:42:54.0,9.91,2019-06-26 17:42:54.0,8.62
2019-06-26 18:12:54.0,14.81,2019-06-26 18:12:54.0,15.67,2019-06-26 18:12:54.0,11.32,2019-06-26 18:12:54.0,12.23,2019-06-26 18:12:54.0,9.9,2019-06-26 18:12:54.0,8.62
2019-06-26 18:42:54.0,14.71,2019-06-26 18:42:54.0,15.64,2019-06-26 18:42:54.0,11.31,2019-06-26 18:42:54.0,12.23,2019-06-26 18:42:54.0,9.9,2019-06-26 18:42:54.0,8.62
2019-06-26 19:12:54.0,14.67,2019-06-26 19:12:54.0,15.56,2019-06-26 19:12:54.0,11.29,2019-06-26 19:12:54.0,12.23,2019-06-26 19:12:54.0,9.9,2019-06-26 19:12:54.0,8.62
2019-06-26 19:43:04.0,14.61,2019-06-26 19:43:04.0,15.53,2019-06-26 19:43:04.0,11.29,2019-06-26 19:43:04.0,12.22,2019-06-26 19:43:04.0,9.89,2019-06-26 19:43:04.0,8.62
2019-06-26 20:13:04.0,14.59,2019-06-26 20:13:04.0,15.47,2019-06-26 20:13:04.0,11.27,2019-06-26 20:13:04.0,12.21,2019-06-26 20:13:04.0,9.89,2019-06-26 20:13:04.0,8.62
2019-06-26 20:43:04.0,14.59,2019-06-26 20:43:04.0,15.47,2019-06-26 20:43:04.0,11.27,2019-06-26 20:43:04.0,12.21,2019-06-26 20:43:04.0,9.89,2019-06-26 20:43:04.0,8.62
2019-06-26 21:13:04.0,14.6,2019-06-26 21:13:04.0,15.43,2019-06-26 21:13:04.0,11.26,2019-06-26 21:13:04.0,12.21,2019-06-26 21:13:04.0,9.88,2019-06-26 21:13:04.0,8.62
2019-06-26 21:43:04.0,14.63,2019-06-26 21:43:04.0,15.41,2019-06-26 21:43:04.0,11.26,2019-06-26 21:43:04.0,12.21,2019-06-26 21:43:04.0,9.88,2019-06-26 21:43:04.0,8.61
2019-06-26 22:13:04.0,14.64,2019-06-26 22:13:04.0,15.38,2019-06-26 22:13:04.0,11.26,2019-06-26 22:13:04.0,12.2,2019-06-26 22:13:04.0,9.88,2019-06-26 22:13:04.0,8.61
2019-06-26 22:43:12.0,14.66,2019-06-26 22:43:12.0,15.37,2019-06-26 22:43:12.0,11.25,2019-06-26 22:43:12.0,12.2,2019-06-26 22:43:12.0,9.87,2019-06-26 22:43:12.0,8.61
2019-06-26 23:13:12.0,14.68,2019-06-26 23:13:12.0,15.39,2019-06-26 23:13:12.0,11.25,2019-06-26 23:13:12.0,12.2,2019-06-26 23:13:12.0,9.87,2019-06-26 23:13:12.0,8.61
2019-06-26 23:43:12.0,14.7,2019-06-26 23:43:12.0,15.4,2019-06-26 23:43:12.0,11.25,2019-06-26 23:43:12.0,12.2,2019-06-26 23:43:12.0,9.87,2019-06-26 23:43:12.0,8.61
2019-06-27 00:13:12.0,14.71,2019-06-27 00:13:12.0,15.39,2019-06-27 00:13:12.0,11.25,2019-06-27 00:13:12.0,12.19,2019-06-27 00:13:12.0,9.87,2019-06-27 00:13:12.0,8.6
2019-06-27 00:43:12.0,14.73,2019-06-27 00:43:12.0,15.43,2019-06-27 00:43:12.0,11.25,2019-06-27 00:43:12.0,12.19,2019-06-27 00:43:12.0,9.87,2019-06-27 00:43:12.0,8.6
2019-06-27 01:13:12.0,14.74,2019-06-27 01:13:12.0,15.42,2019-06-27 01:13:12.0,11.25,2019-06-27 01:13:12.0,12.19,2019-06-27 01:13:12.0,9.86,2019-06-27 01:13:12.0,8.6
2019-06-27 01:43:24.0,14.75,2019-06-27 01:43:24.0,15.43,2019-06-27 01:43:24.0,11.25,2019-06-27 01:43:24.0,12.19,2019-06-27 01:43:24.0,9.86,2019-06-27 01:43:24.0,8.6
2019-06-27 02:13:24.0,14.76,2019-06-27 02:13:24.0,15.46,2019-06-27 02:13:24.0,11.25,2019-06-27 02:13:24.0,12.19,2019-06-27 02:13:24.0,9.86,2019-06-27 02:13:24.0,8.6
2019-06-27 02:43:24.0,14.76,2019-06-27 02:43:24.0,15.47,2019-06-27 02:43:24.0,11.26,2019-06-27 02:43:24.0,12.19,2019-06-27 02:43:24.0,9.86,2019-06-27 02:43:24.0,8.6
2019-06-27 03:13:24.0,14.77,2019-06-27 03:13:24.0,15.47,2019-06-27 03:13:24.0,11.26,2019-06-27 03:13:24.0,12.19,2019-06-27 03:13:24.0,9.86,2019-06-27 03:13:24.0,8.6
2019-06-27 03:43:24.0,14.78,2019-06-27 03:43:24.0,15.45,2019-06-27 03:43:24.0,11.27,2019-06-27 03:43:24.0,12.19,2019-06-27 03:43:24.0,9.86,2019-06-27 03:43:24.0,8.6
2019-06-27 04:13:24.0,14.79,2019-06-27 04:13:24.0,15.48,2019-06-27 04:13:24.0,11.27,2019-06-27 04:13:24.0,12.19,2019-06-27 04:13:24.0,9.86,2019-06-27 04:13:24.0,8.6
2019-06-27 04:43:32.0,14.79,2019-06-27 04:43:32.0,15.48,2019-06-27 04:43:32.0,11.27,2019-06-27 04:43:32.0,12.19,2019-06-27 04:43:32.0,9.86,2019-06-27 04:43:32.0,8.6
2019-06-27 05:13:32.0,14.79,2019-06-27 05:13:32.0,15.53,2019-06-27 05:13:32.0,11.27,2019-06-27 05:13:32.0,12.17,2019-06-27 05:13:32.0,9.86,2019-06-27 05:13:32.0,8.59
2019-06-27 05:43:32.0,14.8,2019-06-27 05:43:32.0,15.52,2019-06-27 05:43:32.0,11.29,2019-06-27 05:43:32.0,12.18,2019-06-27 05:43:32.0,9.86,2019-06-27 05:43:32.0,8.59
2019-06-27 06:13:32.0,14.79,2019-06-27 06:13:32.0,15.57,2019-06-27 06:13:32.0,11.29,2019-06-27 06:13:32.0,12.18,2019-06-27 06:13:32.0,9.86,2019-06-27 06:13:32.0,8.59
2019-06-27 06:43:32.0,14.8,2019-06-27 06:43:32.0,15.56,2019-06-27 06:43:32.0,11.29,2019-06-27 06:43:32.0,12.18,2019-06-27 06:43:32.0,9.86,2019-06-27 06:43:32.0,8.59
2019-06-27 07:13:32.0,14.79,2019-06-27 07:13:32.0,15.48,2019-06-27 07:13:32.0,11.3,2019-06-27 07:13:32.0,12.2,2019-06-27 07:13:32.0,9.86,2019-06-27 07:13:32.0,8.59
2019-06-27 07:43:32.0,14.8,2019-06-27 07:43:32.0,15.48,2019-06-27 07:43:32.0,11.31,2019-06-27 07:43:32.0,12.2,2019-06-27 07:43:32.0,9.86,2019-06-27 07:43:32.0,8.6
2019-06-27 08:13:42.0,14.81,2019-06-27 08:13:42.0,15.46,2019-06-27 08:13:42.0,11.31,2019-06-27 08:13:42.0,12.2,2019-06-27 08:13:42.0,9.86,2019-06-27 08:13:42.0,8.59
2019-06-27 08:43:42.0,14.8,2019-06-27 08:43:42.0,15.46,2019-06-27 08:43:42.0,11.32,2019-06-27 08:43:42.0,12.2,2019-06-27 08:43:42.0,9.86,2019-06-27 08:43:42.0,8.59
2019-06-27 09:13:42.0,14.75,2019-06-27 09:13:42.0,15.43,2019-06-27 09:13:42.0,11.32,2019-06-27 09:13:42.0,12.21,2019-06-27 09:13:42.0,9.86,2019-06-27 09:13:42.0,8.59
2019-06-27 09:43:42.0,14.71,2019-06-27 09:43:42.0,15.45,2019-06-27 09:43:42.0,11.33,2019-06-27 09:43:42.0,12.22,2019-06-27 09:43:42.0,9.86,2019-06-27 09:43:42.0,8.6
2019-06-27 10:13:42.0,14.63,2019-06-27 10:13:42.0,15.42,2019-06-27 10:13:42.0,11.33,2019-06-27 10:13:42.0,12.22,2019-06-27 10:13:42.0,9.87,2019-06-27 10:13:42.0,8.59
2019-06-27 10:43:42.0,14.53,2019-06-27 10:43:42.0,15.39,2019-06-27 10:43:42.0,11.34,2019-06-27 10:43:42.0,12.23,2019-06-27 10:43:42.0,9.88,2019-06-27 10:43:42.0,8.59
2019-06-27 11:13:52.0,14.38,2019-06-27 11:13:52.0,15.34,2019-06-27 11:13:52.0,11.33,2019-06-27 11:13:52.0,12.24,2019-06-27 11:13:52.0,9.88,2019-06-27 11:13:52.0,8.59
2019-06-27 11:43:52.0,14.19,2019-06-27 11:43:52.0,15.25,2019-06-27 11:43:52.0,11.34,2019-06-27 11:43:52.0,12.24,2019-06-27 11:43:52.0,9.89,2019-06-27 11:43:52.0,8.58
2019-06-27 12:13:52.0,14.01,2019-06-27 12:13:52.0,15.16,2019-06-27 12:13:52.0,11.34,2019-06-27 12:13:52.0,12.24,2019-06-27 12:13:52.0,9.89,2019-06-27 12:13:52.0,8.58
2019-06-27 12:43:52.0,13.83,2019-06-27 12:43:52.0,15.07,2019-06-27 12:43:52.0,11.33,2019-06-27 12:43:52.0,12.24,2019-06-27 12:43:52.0,9.89,2019-06-27 12:43:52.0,8.58
2019-06-27 13:13:52.0,13.6,2019-06-27 13:13:52.0,14.99,2019-06-27 13:13:52.0,11.32,2019-06-27 13:13:52.0,12.26,2019-06-27 13:13:52.0,9.89,2019-06-27 13:13:52.0,8.58
2019-06-27 13:43:52.0,13.43,2019-06-27 13:43:52.0,14.92,2019-06-27 13:43:52.0,11.32,2019-06-27 13:43:52.0,12.25,2019-06-27 13:43:52.0,9.89,2019-06-27 13:43:52.0,8.58
2019-06-27 14:14:00.0,13.27,2019-06-27 14:14:00.0,14.86,2019-06-27 14:14:00.0,11.31,2019-06-27 14:14:00.0,12.25,2019-06-27 14:14:00.0,9.89,2019-06-27 14:14:00.0,8.58
2019-06-27 14:44:00.0,13.09,2019-06-27 14:44:00.0,14.81,2019-06-27 14:44:00.0,11.29,2019-06-27 14:44:00.0,12.24,2019-06-27 14:44:00.0,9.88,2019-06-27 14:44:00.0,8.57
2019-06-27 15:14:00.0,12.92,2019-06-27 15:14:00.0,14.78,2019-06-27 15:14:00.0,11.28,2019-06-27 15:14:00.0,12.24,2019-06-27 15:14:00.0,9.88,2019-06-27 15:14:00.0,8.58
2019-06-27 15:44:00.0,12.73,2019-06-27 15:44:00.0,14.77,2019-06-27 15:44:00.0,11.27,2019-06-27 15:44:00.0,12.24,2019-06-27 15:44:00.0,9.89,2019-06-27 15:44:00.0,8.57
2019-06-27 16:14:00.0,12.55,2019-06-27 16:14:00.0,14.77,2019-06-27 16:14:00.0,11.25,2019-06-27 16:14:00.0,12.23,2019-06-27 16:14:00.0,9.88,2019-06-27 16:14:00.0,8.57
2019-06-27 16:44:00.0,12.37,2019-06-27 16:44:00.0,14.78,2019-06-27 16:44:00.0,11.23,2019-06-27 16:44:00.0,12.23,2019-06-27 16:44:00.0,9.88,2019-06-27 16:44:00.0,8.57
2019-06-27 17:14:12.0,12.21,2019-06-27 17:14:12.0,14.78,2019-06-27 17:14:12.0,11.22,2019-06-27 17:14:12.0,12.23,2019-06-27 17:14:12.0,9.88,2019-06-27 17:14:12.0,8.57
2019-06-27 17:44:12.0,12.06,2019-06-27 17:44:12.0,14.79,2019-06-27 17:44:12.0,11.2,2019-06-27 17:44:12.0,12.22,2019-06-27 17:44:12.0,9.88,2019-06-27 17:44:12.0,8.57
2019-06-27 18:14:12.0,11.94,2019-06-27 18:14:12.0,14.8,2019-06-27 18:14:12.0,11.18,2019-06-27 18:14:12.0,12.21,2019-06-27 18:14:12.0,9.87,2019-06-27 18:14:12.0,8.57
2019-06-27 18:44:12.0,11.85,2019-06-27 18:44:12.0,14.81,2019-06-27 18:44:12.0,11.16,2019-06-27 18:44:12.0,12.21,2019-06-27 18:44:12.0,9.87,2019-06-27 18:44:12.0,8.57
2019-06-27 19:14:12.0,11.79,2019-06-27 19:14:12.0,14.81,2019-06-27 19:14:12.0,11.14,2019-06-27 19:14:12.0,12.21,2019-06-27 19:14:12.0,9.87,2019-06-27 19:14:12.0,8.56
2019-06-27 19:44:12.0,11.74,2019-06-27 19:44:12.0,14.81,2019-06-27 19:44:12.0,11.13,2019-06-27 19:44:12.0,12.2,2019-06-27 19:44:12.0,9.86,2019-06-27 19:44:12.0,8.56
2019-06-27 20:14:22.0,11.72,2019-06-27 20:14:22.0,14.8,2019-06-27 20:14:22.0,11.11,2019-06-27 20:14:22.0,12.2,2019-06-27 20:14:22.0,9.86,2019-06-27 20:14:22.0,8.56
2019-06-27 20:44:22.0,11.73,2019-06-27 20:44:22.0,14.79,2019-06-27 20:44:22.0,11.09,2019-06-27 20:44:22.0,12.19,2019-06-27 20:44:22.0,9.85,2019-06-27 20:44:22.0,8.56
2019-06-27 21:14:22.0,11.75,2019-06-27 21:14:22.0,14.78,2019-06-27 21:14:22.0,11.08,2019-06-27 21:14:22.0,12.19,2019-06-27 21:14:22.0,9.84,2019-06-27 21:14:22.0,8.56
2019-06-27 21:44:22.0,11.77,2019-06-27 21:44:22.0,14.76,2019-06-27 21:44:22.0,11.06,2019-06-27 21:44:22.0,12.18,2019-06-27 21:44:22.0,9.84,2019-06-27 21:44:22.0,8.56
2019-06-27 22:14:22.0,11.79,2019-06-27 22:14:22.0,14.75,2019-06-27 22:14:22.0,11.05,2019-06-27 22:14:22.0,12.18,2019-06-27 22:14:22.0,9.83,2019-06-27 22:14:22.0,8.56
2019-06-27 22:44:22.0,11.81,2019-06-27 22:44:22.0,14.74,2019-06-27 22:44:22.0,11.03,2019-06-27 22:44:22.0,12.18,2019-06-27 22:44:22.0,9.83,2019-06-27 22:44:22.0,8.55
2019-06-27 23:14:32.0,11.83,2019-06-27 23:14:32.0,14.73,2019-06-27 23:14:32.0,11.03,2019-06-27 23:14:32.0,12.17,2019-06-27 23:14:32.0,9.82,2019-06-27 23:14:32.0,8.56
2019-06-27 23:44:32.0,11.85,2019-06-27 23:44:32.0,14.71,2019-06-27 23:44:32.0,11.02,2019-06-27 23:44:32.0,12.16,2019-06-27 23:44:32.0,9.82,2019-06-27 23:44:32.0,8.55
2019-06-28 00:14:32.0,11.87,2019-06-28 00:14:32.0,14.69,2019-06-28 00:14:32.0,11.01,2019-06-28 00:14:32.0,12.15,2019-06-28 00:14:32.0,9.81,2019-06-28 00:14:32.0,8.55
2019-06-28 00:44:32.0,11.89,2019-06-28 00:44:32.0,14.68,2019-06-28 00:44:32.0,11.01,2019-06-28 00:44:32.0,12.15,2019-06-28 00:44:32.0,9.81,2019-06-28 00:44:32.0,8.55
2019-06-28 01:14:32.0,11.9,2019-06-28 01:14:32.0,14.64,2019-06-28 01:14:32.0,11,2019-06-28 01:14:32.0,12.14,2019-06-28 01:14:32.0,9.8,2019-06-28 01:14:32.0,8.55
2019-06-28 01:44:32.0,11.92,2019-06-28 01:44:32.0,14.6,2019-06-28 01:44:32.0,11,2019-06-28 01:44:32.0,12.14,2019-06-28 01:44:32.0,9.8,2019-06-28 01:44:32.0,8.55
2019-06-28 02:14:42.0,11.94,2019-06-28 02:14:42.0,14.6,2019-06-28 02:14:42.0,10.99,2019-06-28 02:14:42.0,12.13,2019-06-28 02:14:42.0,9.8,2019-06-28 02:14:42.0,8.55
2019-06-28 02:44:42.0,11.95,2019-06-28 02:44:42.0,14.6,2019-06-28 02:44:42.0,10.99,2019-06-28 02:44:42.0,12.13,2019-06-28 02:44:42.0,9.79,2019-06-28 02:44:42.0,8.55
2019-06-28 03:14:42.0,11.96,2019-06-28 03:14:42.0,14.55,2019-06-28 03:14:42.0,10.99,2019-06-28 03:14:42.0,12.11,2019-06-28 03:14:42.0,9.79,2019-06-28 03:14:42.0,8.54
2019-06-28 03:44:42.0,11.97,2019-06-28 03:44:42.0,14.52,2019-06-28 03:44:42.0,11,2019-06-28 03:44:42.0,12.13,2019-06-28 03:44:42.0,9.79,2019-06-28 03:44:42.0,8.54
2019-06-28 04:14:42.0,11.99,2019-06-28 04:14:42.0,14.53,2019-06-28 04:14:42.0,11,2019-06-28 04:14:42.0,12.12,2019-06-28 04:14:42.0,9.79,2019-06-28 04:14:42.0,8.54
2019-06-28 04:44:42.0,12,2019-06-28 04:44:42.0,14.54,2019-06-28 04:44:42.0,11.01,2019-06-28 04:44:42.0,12.12,2019-06-28 04:44:42.0,9.78,2019-06-28 04:44:42.0,8.54
2019-06-28 05:14:50.0,12.01,2019-06-28 05:14:50.0,14.52,2019-06-28 05:14:50.0,11,2019-06-28 05:14:50.0,12.11,2019-06-28 05:14:50.0,9.78,2019-06-28 05:14:50.0,8.54
2019-06-28 05:44:50.0,12.03,2019-06-28 05:44:50.0,14.5,2019-06-28 05:44:50.0,11,2019-06-28 05:44:50.0,12.11,2019-06-28 05:44:50.0,9.78,2019-06-28 05:44:50.0,8.54
2019-06-28 06:14:50.0,12.04,2019-06-28 06:14:50.0,14.46,2019-06-28 06:14:50.0,10.99,2019-06-28 06:14:50.0,12.11,2019-06-28 06:14:50.0,9.78,2019-06-28 06:14:50.0,8.53
2019-06-28 06:44:50.0,12.05,2019-06-28 06:44:50.0,14.49,2019-06-28 06:44:50.0,10.99,2019-06-28 06:44:50.0,12.1,2019-06-28 06:44:50.0,9.78,2019-06-28 06:44:50.0,8.53
2019-06-28 07:14:50.0,12.08,2019-06-28 07:14:50.0,14.48,2019-06-28 07:14:50.0,11.01,2019-06-28 07:14:50.0,12.11,2019-06-28 07:14:50.0,9.79,2019-06-28 07:14:50.0,8.53
2019-06-28 07:44:50.0,12.58,2019-06-28 07:44:50.0,14.39,2019-06-28 07:44:50.0,10.97,2019-06-28 07:44:50.0,12.18,2019-06-28 07:44:50.0,9.84,2019-06-28 07:44:50.0,8.63
